epoch,train_total_loss,train_ce_loss,train_aux_loss,train_acc,val_acc,val_macro_f1,lr,patience_left,common_loss,orth_loss,recon_loss,common_sim,private_sim,c_norm,pt_norm,pv_norm,cp_overlap_t,cp_overlap_v
1,2.791323,2.791323,0.000000,0.292412,0.329334,0.024774,0.001000,30,,,,,,,,,,
2,2.980997,2.980997,0.000000,0.329301,0.108878,0.009819,0.001000,30,,,,,,,,,,
3,2.729065,2.729065,0.000000,0.112666,0.177864,0.055723,0.001000,29,,,,,,,,,,
4,2.599139,2.599139,0.000000,0.175147,0.266347,0.055715,0.001000,28,,,,,,,,,,
5,2.415400,2.415400,0.000000,0.258922,0.383023,0.062195,0.001000,27,,,,,,,,,,
6,2.285893,2.285893,0.000000,0.380086,0.337133,0.033434,0.001000,30,,,,,,,,,,
7,2.290072,2.290072,0.000000,0.337999,0.332034,0.027966,0.001000,29,,,,,,,,,,
8,2.306969,2.306969,0.000000,0.332600,0.334733,0.030962,0.001000,28,,,,,,,,,,
9,2.262830,2.262830,0.000000,0.335099,0.344631,0.040327,0.001000,27,,,,,,,,,,
10,2.203184,2.203184,0.000000,0.344897,0.366527,0.054651,0.001000,26,,,,,,,,,,
11,2.163082,2.163082,0.000000,0.363991,0.389622,0.069850,0.001000,25,,,,,,,,,,
12,2.140947,2.140947,0.000000,0.387084,0.401620,0.083211,0.001000,30,,,,,,,,,,
13,2.120985,2.120985,0.000000,0.401480,0.401320,0.086261,0.001000,30,,,,,,,,,,
14,2.099054,2.099054,0.000000,0.402579,0.403119,0.087017,0.001000,29,,,,,,,,,,
15,2.067194,2.067194,0.000000,0.405278,0.401920,0.083808,0.001000,30,,,,,,,,,,
16,2.035082,2.035082,0.000000,0.403279,0.397121,0.076433,0.001000,29,,,,,,,,,,
17,1.999575,1.999575,0.000000,0.400780,0.396521,0.073320,0.001000,28,,,,,,,,,,
18,1.977945,1.977945,0.000000,0.400780,0.397421,0.073643,0.001000,27,,,,,,,,,,
19,1.953065,1.953065,0.000000,0.402179,0.403419,0.080583,0.001000,26,,,,,,,,,,
20,1.929909,1.929909,0.000000,0.406678,0.414817,0.094370,0.001000,30,,,,,,,,,,
21,1.900121,1.900121,0.000000,0.415575,0.426515,0.109512,0.001000,30,,,,,,,,,,
22,1.878667,1.878667,0.000000,0.424573,0.425015,0.114653,0.001000,30,,,,,,,,,,
23,1.861774,1.861774,0.000000,0.426872,0.432514,0.119951,0.001000,29,,,,,,,,,,
24,1.834950,1.834950,0.000000,0.425372,0.435513,0.118210,0.001000,30,,,,,,,,,,
25,1.808225,1.808225,0.000000,0.430571,0.440012,0.118367,0.001000,30,,,,,,,,,,
26,1.782252,1.782252,0.000000,0.433270,0.441512,0.123023,0.001000,30,,,,,,,,,,
27,1.760458,1.760458,0.000000,0.439968,0.438812,0.134813,0.001000,30,,,,,,,,,,
28,1.739322,1.739322,0.000000,0.450065,0.440312,0.143711,0.001000,29,,,,,,,,,,
29,1.713897,1.713897,0.000000,0.453964,0.444211,0.150035,0.001000,28,,,,,,,,,,
30,1.688109,1.688109,0.000000,0.455263,0.445711,0.148779,0.001000,30,,,,,,,,,,
31,1.665289,1.665289,0.000000,0.457263,0.448110,0.158198,0.001000,30,,,,,,,,,,
32,1.642289,1.642289,0.000000,0.463161,0.452909,0.181478,0.001000,30,,,,,,,,,,
33,1.616932,1.616932,0.000000,0.472158,0.454409,0.192004,0.001000,30,,,,,,,,,,
34,1.595313,1.595313,0.000000,0.479356,0.460108,0.190765,0.001000,30,,,,,,,,,,
35,1.573752,1.573752,0.000000,0.482755,0.466107,0.199654,0.001000,30,,,,,,,,,,
36,1.558644,1.558644,0.000000,0.482255,0.472705,0.212203,0.001000,30,,,,,,,,,,
37,1.533685,1.533685,0.000000,0.496151,0.472106,0.226240,0.001000,30,,,,,,,,,,
38,1.511893,1.511893,0.000000,0.499350,0.479304,0.228213,0.001000,29,,,,,,,,,,
39,1.491263,1.491263,0.000000,0.505048,0.486203,0.238574,0.001000,30,,,,,,,,,,
