epoch,train_total_loss,train_ce_loss,train_aux_loss,train_acc,val_acc,val_macro_f1,lr,patience_left,common_loss,orth_loss,recon_loss,common_sim,private_sim,c_norm,pt_norm,pv_norm,cp_overlap_t,cp_overlap_v
1,3.054854,2.922573,0.132281,0.113166,0.329334,0.024774,0.001000,30,0.791267,0.000052,0.388184,0.208733,0.016784,3.520765,4.180572,4.007141,0.004351,0.005779
2,2.674115,2.556771,0.117345,0.329301,0.329334,0.025350,0.001000,30,0.615915,0.000033,0.350087,0.384085,0.047030,4.160702,4.687531,4.734199,0.003336,0.004717
3,2.554988,2.448392,0.106596,0.291812,0.329334,0.024774,0.001000,29,0.431727,0.000026,0.326538,0.568273,0.143291,4.680034,5.320752,5.105521,0.002700,0.004282
4,2.442296,2.350983,0.091312,0.321304,0.329334,0.024774,0.001000,28,0.349766,0.000027,0.281056,0.650234,0.148636,4.959990,5.516009,5.271550,0.002394,0.004627
5,2.369043,2.293872,0.075171,0.329301,0.329334,0.024774,0.001000,27,0.302369,0.000041,0.230410,0.697631,0.130459,5.135194,5.637732,5.365465,0.002311,0.005989
6,2.342198,2.281189,0.061009,0.329501,0.343431,0.039025,0.001000,26,0.274891,0.000084,0.185034,0.725109,0.106964,5.257201,5.755556,5.375480,0.002336,0.008886
7,2.303870,2.253044,0.050826,0.345596,0.391122,0.064644,0.001000,30,0.265639,0.000195,0.151704,0.734361,0.087080,5.322083,5.841158,5.261753,0.002490,0.013751
8,2.245274,2.200314,0.044960,0.391383,0.392022,0.063445,0.001000,30,0.274414,0.000429,0.131560,0.725586,0.075945,5.313346,5.861370,5.060165,0.002768,0.020522
9,2.193683,2.151331,0.042353,0.391882,0.393521,0.065882,0.001000,30,0.300746,0.000847,0.121098,0.699254,0.070249,5.237958,5.824305,4.899700,0.003216,0.028920
10,2.150560,2.108947,0.041614,0.396981,0.405219,0.076403,0.001000,30,0.340175,0.001359,0.115989,0.659825,0.063549,5.115645,5.736457,4.874228,0.003834,0.036671
11,2.113465,2.071925,0.041540,0.401580,0.406719,0.079657,0.001000,30,0.377624,0.001764,0.113233,0.622376,0.047106,4.966777,5.626920,4.845749,0.004712,0.041739
12,2.069762,2.028312,0.041450,0.407678,0.412118,0.079976,0.001000,30,0.401771,0.002007,0.111316,0.598229,0.023066,4.827241,5.490282,4.734765,0.005780,0.044421
13,2.042696,2.001499,0.041198,0.414576,0.428614,0.088760,0.001000,30,0.406478,0.002017,0.110160,0.593522,0.000085,4.747777,5.339406,4.614755,0.007066,0.044351
14,1.999468,1.959413,0.040056,0.429971,0.432813,0.104243,0.001000,30,0.396696,0.001957,0.107008,0.603304,-0.008892,4.750722,5.181186,4.585220,0.008646,0.043386
15,1.972312,1.933487,0.038825,0.436669,0.444211,0.110736,0.001000,30,0.389913,0.001995,0.103357,0.610087,-0.026071,4.759911,5.040493,4.535250,0.010470,0.043425
