epoch,train_total_loss,train_ce_loss,train_aux_loss,train_acc,val_acc,val_macro_f1,lr,patience_left,common_loss,orth_loss,recon_loss,common_sim,private_sim,c_norm,pt_norm,pv_norm,cp_overlap_t,cp_overlap_v
1,2.791323,2.791323,0.000000,0.292412,0.329334,0.024774,0.001000,30,,,,,,,,,,
2,2.980997,2.980997,0.000000,0.329301,0.108878,0.009819,0.001000,30,,,,,,,,,,
3,2.729065,2.729065,0.000000,0.112666,0.177864,0.055723,0.001000,29,,,,,,,,,,
4,2.599139,2.599139,0.000000,0.175147,0.266347,0.055715,0.001000,28,,,,,,,,,,
5,2.415400,2.415400,0.000000,0.258922,0.383023,0.062195,0.001000,27,,,,,,,,,,
6,2.285893,2.285893,0.000000,0.380086,0.337133,0.033434,0.001000,30,,,,,,,,,,
7,2.290072,2.290072,0.000000,0.337999,0.332034,0.027966,0.001000,29,,,,,,,,,,
8,2.306969,2.306969,0.000000,0.332600,0.334733,0.030962,0.001000,28,,,,,,,,,,
9,2.262830,2.262830,0.000000,0.335099,0.344631,0.040327,0.001000,27,,,,,,,,,,
10,2.203184,2.203184,0.000000,0.344897,0.366527,0.054651,0.001000,26,,,,,,,,,,
11,2.163082,2.163082,0.000000,0.363991,0.389622,0.069850,0.001000,25,,,,,,,,,,
12,2.140947,2.140947,0.000000,0.387084,0.401620,0.083211,0.001000,30,,,,,,,,,,
13,2.120986,2.120986,0.000000,0.401480,0.401320,0.086261,0.001000,30,,,,,,,,,,
14,2.099053,2.099053,0.000000,0.402579,0.403119,0.087017,0.001000,29,,,,,,,,,,
15,2.067193,2.067193,0.000000,0.405278,0.401920,0.083808,0.001000,30,,,,,,,,,,
16,2.035081,2.035081,0.000000,0.403279,0.397121,0.076433,0.001000,29,,,,,,,,,,
17,1.999574,1.999574,0.000000,0.400780,0.396521,0.073320,0.001000,28,,,,,,,,,,
18,1.977946,1.977946,0.000000,0.400780,0.397421,0.073643,0.001000,27,,,,,,,,,,
19,1.953066,1.953066,0.000000,0.402179,0.403419,0.080583,0.001000,26,,,,,,,,,,
20,1.929909,1.929909,0.000000,0.406678,0.414817,0.094351,0.001000,30,,,,,,,,,,
21,1.900121,1.900121,0.000000,0.415475,0.426515,0.109512,0.001000,30,,,,,,,,,,
22,1.878668,1.878668,0.000000,0.424573,0.425015,0.114653,0.001000,30,,,,,,,,,,
23,1.861771,1.861771,0.000000,0.426972,0.432514,0.119951,0.001000,29,,,,,,,,,,
24,1.834950,1.834950,0.000000,0.425372,0.435813,0.118307,0.001000,30,,,,,,,,,,
25,1.808232,1.808232,0.000000,0.430571,0.440012,0.118374,0.001000,30,,,,,,,,,,
26,1.782263,1.782263,0.000000,0.433370,0.442112,0.123584,0.001000,30,,,,,,,,,,
27,1.760475,1.760475,0.000000,0.440168,0.438812,0.134813,0.001000,30,,,,,,,,,,
28,1.739331,1.739331,0.000000,0.449965,0.440012,0.143638,0.001000,29,,,,,,,,,,
29,1.713914,1.713914,0.000000,0.453964,0.444211,0.150035,0.001000,28,,,,,,,,,,
30,1.688120,1.688120,0.000000,0.455563,0.445411,0.148734,0.001000,30,,,,,,,,,,
31,1.665289,1.665289,0.000000,0.457263,0.447810,0.158137,0.001000,30,,,,,,,,,,
32,1.642278,1.642278,0.000000,0.463061,0.452609,0.181339,0.001000,30,,,,,,,,,,
33,1.616928,1.616928,0.000000,0.472158,0.453209,0.191099,0.001000,30,,,,,,,,,,
34,1.595402,1.595402,0.000000,0.479056,0.460108,0.190680,0.001000,30,,,,,,,,,,
35,1.573761,1.573761,0.000000,0.482655,0.466407,0.199735,0.001000,30,,,,,,,,,,
36,1.558719,1.558719,0.000000,0.481855,0.472705,0.211558,0.001000,30,,,,,,,,,,
37,1.533747,1.533747,0.000000,0.495851,0.472406,0.226656,0.001000,30,,,,,,,,,,
38,1.511954,1.511954,0.000000,0.499350,0.478704,0.227995,0.001000,29,,,,,,,,,,
39,1.491354,1.491354,0.000000,0.505448,0.487103,0.238873,0.001000,30,,,,,,,,,,
