epoch,train_total_loss,train_ce_loss,train_aux_loss,train_acc,val_acc,val_macro_f1,lr,patience_left,common_loss,orth_loss,recon_loss,common_sim,private_sim,c_norm,pt_norm,pv_norm,cp_overlap_t,cp_overlap_v
1,3.268425,3.136144,0.132281,0.020694,0.329334,0.024774,0.001000,30,0.791267,0.000052,0.388184,0.208733,0.016784,3.520765,4.180572,4.007141,0.004351,0.005779
2,2.637919,2.524158,0.113761,0.329301,0.323335,0.031863,0.001000,30,0.524780,0.000039,0.344216,0.475220,-0.086964,4.289487,4.909555,4.631836,0.003294,0.005275
3,2.559751,2.453418,0.106333,0.268320,0.329334,0.024774,0.001000,29,0.396227,0.000033,0.328027,0.603773,-0.088049,4.663748,5.434175,4.878515,0.002571,0.005145
4,2.430382,2.335817,0.094564,0.322503,0.329334,0.024774,0.001000,28,0.336311,0.000032,0.292793,0.663689,-0.098296,4.870022,5.605453,4.963494,0.002194,0.005261
5,2.365669,2.285287,0.080381,0.329201,0.329334,0.024774,0.001000,27,0.303058,0.000042,0.247732,0.696942,-0.097545,5.015308,5.705911,4.971565,0.001998,0.006170
6,2.332342,2.265283,0.067059,0.329401,0.335333,0.031473,0.001000,26,0.285327,0.000076,0.204506,0.714673,-0.094651,5.107598,5.791484,4.838971,0.001927,0.008506
7,2.277920,2.221139,0.056780,0.342197,0.393521,0.066064,0.001000,30,0.281671,0.000168,0.170484,0.718329,-0.087735,5.120373,5.867164,4.574037,0.001937,0.012816
8,2.212716,2.162036,0.050680,0.394182,0.403419,0.076302,0.001000,30,0.296917,0.000364,0.149126,0.703083,-0.062769,5.054778,5.920480,4.322906,0.002015,0.018969
9,2.154294,2.106771,0.047523,0.400080,0.397121,0.070569,0.001000,30,0.324192,0.000661,0.136776,0.675808,-0.020508,4.952507,5.937697,4.276103,0.002153,0.025626
10,2.110008,2.064097,0.045912,0.401380,0.405219,0.077845,0.001000,29,0.354155,0.001008,0.129395,0.645845,0.020072,4.852756,5.914477,4.480541,0.002332,0.031670
11,2.071803,2.027236,0.044567,0.408377,0.422016,0.094278,0.001000,30,0.391958,0.001349,0.122381,0.608042,0.044575,4.703138,5.863571,4.651070,0.002561,0.036633
12,2.025755,1.982708,0.043047,0.427472,0.421716,0.097887,0.001000,30,0.436238,0.001803,0.114346,0.563762,0.052726,4.511446,5.783983,4.658584,0.002811,0.042368
13,1.999975,1.957796,0.042179,0.420974,0.423515,0.095772,0.001000,29,0.474430,0.002212,0.108895,0.525570,0.065681,4.379022,5.669794,4.663189,0.003075,0.046935
14,1.964296,1.922872,0.041423,0.437569,0.428314,0.105038,0.001000,30,0.494482,0.002271,0.105036,0.505518,0.088065,4.343600,5.536270,4.746090,0.003433,0.047530
15,1.930564,1.890345,0.040219,0.437869,0.439712,0.121114,0.001000,30,0.504804,0.002430,0.100328,0.495196,0.078524,4.314881,5.393158,4.719105,0.003936,0.049142
16,1.904850,1.866439,0.038410,0.442267,0.446311,0.113149,0.001000,30,0.496574,0.002637,0.094842,0.503426,0.075427,4.297104,5.307451,4.663758,0.004672,0.051137
17,1.882644,1.845794,0.036850,0.446266,0.440012,0.123276,0.001000,30,0.478783,0.002569,0.090830,0.521217,0.091055,4.297854,5.283091,4.692899,0.005858,0.050344
18,1.840276,1.804969,0.035307,0.452864,0.443611,0.125918,0.001000,29,0.464932,0.002644,0.086605,0.535068,0.085329,4.314715,5.197123,4.678880,0.007106,0.050929
19,1.813946,1.779467,0.034479,0.457663,0.454409,0.123984,0.001000,28,0.451068,0.002622,0.084773,0.548932,0.089402,4.327148,5.159993,4.699482,0.008752,0.050449
20,1.797889,1.763858,0.034031,0.458263,0.447211,0.150453,0.001000,30,0.444351,0.002540,0.083728,0.555649,0.093955,4.325247,5.136840,4.726190,0.011148,0.049150
21,1.770040,1.737635,0.032405,0.462761,0.464007,0.143663,0.001000,29,0.442155,0.002600,0.078453,0.557845,0.085547,4.329027,4.997033,4.662973,0.013308,0.049222
22,1.737563,1.706245,0.031318,0.475657,0.467007,0.157213,0.001000,30,0.430720,0.002458,0.075597,0.569280,0.096137,4.355113,4.984389,4.663979,0.015412,0.047117
23,1.706217,1.675866,0.030351,0.477057,0.459208,0.183439,0.001000,30,0.429612,0.002421,0.072448,0.570388,0.096143,4.335224,4.969646,4.649045,0.017061,0.046149
24,1.693664,1.663990,0.029674,0.479056,0.476905,0.167060,0.001000,29,0.430597,0.002403,0.070126,0.569403,0.091910,4.307994,4.966835,4.617909,0.017717,0.045711
25,1.663192,1.634333,0.028859,0.486854,0.478104,0.180677,0.001000,30,0.418476,0.002235,0.068225,0.581524,0.104339,4.339520,5.051874,4.610153,0.017868,0.043769
26,1.629237,1.600928,0.028310,0.490753,0.474805,0.207016,0.001000,30,0.414911,0.002144,0.066634,0.585089,0.100061,4.326334,5.082903,4.576635,0.017846,0.042729
27,1.618332,1.590476,0.027856,0.492952,0.479904,0.201203,0.001000,29,0.413217,0.002039,0.065236,0.586783,0.092996,4.301935,5.083076,4.553997,0.017567,0.041604
28,1.592354,1.565180,0.027173,0.503049,0.485303,0.242176,0.001000,30,0.403476,0.001861,0.063617,0.596524,0.096227,4.315455,5.105935,4.553789,0.017419,0.039462
29,1.565386,1.538690,0.026696,0.512046,0.488902,0.253426,0.001000,30,0.402385,0.001802,0.062102,0.597615,0.087725,4.291879,5.110958,4.554777,0.016876,0.038945
30,1.553649,1.527455,0.026194,0.508747,0.494901,0.246714,0.001000,30,0.399403,0.001721,0.060628,0.600597,0.081313,4.278697,5.121428,4.568286,0.016134,0.038214
31,1.530630,1.505126,0.025503,0.515845,0.491902,0.273795,0.001000,30,0.387714,0.001577,0.059110,0.612286,0.087035,4.307035,5.140757,4.575414,0.015576,0.036535
32,1.512524,1.487446,0.025078,0.524943,0.500300,0.266585,0.001000,29,0.384313,0.001547,0.057922,0.615687,0.080733,4.300301,5.128807,4.567166,0.015196,0.036274
33,1.491137,1.466640,0.024497,0.527442,0.502999,0.280152,0.001000,30,0.374336,0.001484,0.056651,0.625664,0.078101,4.321091,5.166595,4.593269,0.014935,0.035505
34,1.472689,1.448652,0.024037,0.529541,0.500000,0.299445,0.001000,30,0.365698,0.001436,0.055695,0.634302,0.077222,4.342757,5.171041,4.584976,0.014853,0.034866
35,1.459970,1.436313,0.023658,0.537239,0.504799,0.268369,0.001000,29,0.363195,0.001431,0.054598,0.636805,0.073403,4.343081,5.167201,4.588738,0.014852,0.034794
36,1.449106,1.426016,0.023090,0.532240,0.498500,0.314363,0.001000,30,0.350861,0.001360,0.053529,0.649139,0.074400,4.386217,5.200206,4.619245,0.014639,0.033847
37,1.441809,1.418756,0.023053,0.535839,0.502699,0.270606,0.001000,29,0.356982,0.001415,0.052998,0.643018,0.073800,4.373854,5.181137,4.615094,0.014425,0.034737
38,1.424501,1.402031,0.022469,0.540438,0.513797,0.314638,0.001000,28,0.344699,0.001330,0.051873,0.655301,0.075732,4.418306,5.250014,4.641793,0.014435,0.033497
39,1.393880,1.371510,0.022370,0.550735,0.508098,0.310796,0.001000,30,0.351169,0.001411,0.051110,0.648831,0.069140,4.400354,5.237611,4.650590,0.014590,0.034620
40,1.381966,1.359762,0.022203,0.554534,0.514997,0.303048,0.001000,29,0.349117,0.001388,0.050691,0.650883,0.072437,4.424584,5.232564,4.657955,0.014719,0.034228
41,1.365258,1.343325,0.021933,0.554334,0.514097,0.317692,0.001000,30,0.345907,0.001361,0.050003,0.654093,0.071034,4.445995,5.262354,4.671308,0.015016,0.033696
42,1.346589,1.324710,0.021879,0.562231,0.512598,0.316196,0.001000,29,0.348205,0.001394,0.049669,0.651795,0.068515,4.446509,5.264349,4.683184,0.015033,0.034180
43,1.340304,1.318609,0.021695,0.564231,0.520096,0.329465,0.001000,28,0.341371,0.001327,0.049513,0.658629,0.071180,4.484456,5.259604,4.675138,0.015102,0.033146
44,1.306106,1.284474,0.021632,0.572728,0.520096,0.327869,0.001000,30,0.342474,0.001330,0.049231,0.657526,0.065609,4.484430,5.251552,4.667704,0.015453,0.033031
45,1.303420,1.281848,0.021572,0.574328,0.525195,0.357395,0.001000,29,0.340401,0.001304,0.049168,0.659599,0.064435,4.502313,5.259208,4.661122,0.015641,0.032544
46,1.289983,1.268433,0.021550,0.575727,0.526095,0.358566,0.001000,30,0.337722,0.001273,0.049275,0.662278,0.068029,4.516387,5.259965,4.657866,0.015437,0.032173
47,1.264418,1.242849,0.021569,0.589223,0.527595,0.351665,0.001000,30,0.339525,0.001281,0.049219,0.660475,0.064255,4.516784,5.270660,4.654853,0.015349,0.032340
48,1.255812,1.234287,0.021525,0.588723,0.523095,0.376498,0.001000,30,0.336083,0.001222,0.049303,0.663917,0.063950,4.535745,5.294398,4.639494,0.015373,0.031402
49,1.240868,1.219211,0.021657,0.597721,0.525795,0.338543,0.001000,29,0.338330,0.001212,0.049594,0.661670,0.064049,4.524889,5.279141,4.614582,0.015142,0.031351
50,1.227243,1.205584,0.021660,0.591523,0.521296,0.374421,0.001000,28,0.334388,0.001158,0.049868,0.665612,0.059694,4.550210,5.290392,4.627217,0.014898,0.030602
51,1.222129,1.200303,0.021826,0.598420,0.530594,0.344662,0.001000,27,0.337918,0.001158,0.050186,0.662082,0.063013,4.546536,5.312279,4.596575,0.014809,0.030645
52,1.205151,1.183240,0.021911,0.602119,0.522496,0.395603,0.001000,30,0.335998,0.001114,0.050599,0.664002,0.058737,4.566366,5.316362,4.627173,0.014925,0.029860
53,1.189039,1.166859,0.022180,0.610817,0.524895,0.351397,0.001000,29,0.342558,0.001130,0.051060,0.657442,0.056772,4.538378,5.303188,4.593050,0.014910,0.030131
54,1.182494,1.160233,0.022260,0.610117,0.527595,0.383998,0.001000,28,0.333757,0.001045,0.051916,0.666243,0.056109,4.582479,5.371958,4.578399,0.014714,0.028778
55,1.156892,1.134299,0.022593,0.616215,0.532094,0.401135,0.001000,27,0.342963,0.001089,0.052409,0.657037,0.051606,4.547565,5.353770,4.603004,0.014757,0.029513
56,1.136599,1.113727,0.022872,0.630611,0.535093,0.376694,0.001000,30,0.342601,0.001034,0.053365,0.657399,0.060776,4.555430,5.355032,4.568003,0.014705,0.028598
57,1.121108,1.097977,0.023131,0.630311,0.537493,0.392620,0.001000,30,0.341672,0.001016,0.054290,0.658328,0.051934,4.565361,5.405187,4.570137,0.014648,0.028306
58,1.097958,1.074440,0.023518,0.640808,0.535993,0.406217,0.001000,30,0.344798,0.001008,0.055372,0.655202,0.049044,4.552729,5.396370,4.567703,0.014598,0.028202
59,1.097621,1.073807,0.023815,0.642707,0.533293,0.399828,0.001000,29,0.340596,0.000944,0.056645,0.659404,0.055747,4.572168,5.388033,4.535402,0.014630,0.027027
60,1.069136,1.044881,0.024255,0.654304,0.542292,0.390940,0.001000,28,0.341365,0.000936,0.058061,0.658635,0.048319,4.574013,5.417395,4.526904,0.014432,0.026973
