epoch,train_total_loss,train_ce_loss,train_aux_loss,train_acc,val_acc,val_macro_f1,lr,patience_left,common_loss,orth_loss,recon_loss,common_sim,private_sim,c_norm,pt_norm,pv_norm,cp_overlap_t,cp_overlap_v
1,3.172196,3.039915,0.132281,0.059382,0.329334,0.024774,0.001000,30,0.791267,0.000052,0.388184,0.208733,0.016784,3.520765,4.180572,4.007141,0.004351,0.005779
2,2.674766,2.552516,0.122250,0.329301,0.329334,0.024774,0.001000,30,0.651032,0.000034,0.364097,0.348968,-0.148589,3.969537,5.248757,5.147932,0.004050,0.004139
3,2.491784,2.378587,0.113197,0.328901,0.329334,0.024774,0.001000,29,0.534560,0.000025,0.341685,0.465440,-0.162609,4.403739,5.839487,5.315978,0.003408,0.003607
4,2.436040,2.337709,0.098331,0.325502,0.329334,0.024774,0.001000,28,0.435111,0.000026,0.298763,0.564889,-0.167485,4.696189,5.884973,5.297452,0.003074,0.004022
5,2.361599,2.280664,0.080936,0.329501,0.329334,0.024774,0.001000,27,0.367160,0.000038,0.245307,0.632840,-0.175821,4.867579,5.785456,5.335174,0.002950,0.005384
6,2.323728,2.257891,0.065837,0.329401,0.329334,0.024774,0.001000,26,0.321203,0.000078,0.198039,0.678797,-0.183686,4.975952,5.650030,5.358908,0.003064,0.008277
7,2.275030,2.219715,0.055316,0.330501,0.365627,0.054190,0.001000,25,0.298318,0.000199,0.164492,0.701682,-0.186045,5.013044,5.500495,5.313117,0.003371,0.013697
8,2.208589,2.158648,0.049941,0.362591,0.407618,0.082612,0.001000,30,0.306479,0.000522,0.146022,0.693521,-0.169224,4.961276,5.307103,5.205827,0.003891,0.022511
9,2.147525,2.099941,0.047584,0.404879,0.414217,0.088720,0.001000,30,0.353350,0.001201,0.135018,0.646650,-0.117669,4.798219,5.026358,5.056726,0.004694,0.034338
10,2.096941,2.050426,0.046514,0.408377,0.407319,0.082242,0.001000,30,0.422500,0.002112,0.126811,0.577500,-0.041652,4.566442,4.687591,4.993076,0.005748,0.045593
11,2.060686,2.014507,0.046179,0.409577,0.423215,0.093734,0.001000,29,0.476145,0.002781,0.122094,0.523855,0.008218,4.388999,4.371418,5.131094,0.006988,0.052272
12,2.020951,1.975706,0.045246,0.422173,0.426215,0.099756,0.001000,30,0.494400,0.003280,0.117750,0.505600,0.009387,4.343878,4.113946,5.283251,0.008141,0.056687
13,1.994188,1.950901,0.043287,0.422973,0.427714,0.098540,0.001000,30,0.480689,0.003681,0.112122,0.519311,-0.001265,4.432423,3.964223,5.367908,0.009496,0.059926
14,1.964728,1.922911,0.041817,0.432270,0.439412,0.110804,0.001000,30,0.454653,0.003736,0.108955,0.545347,-0.003710,4.560649,3.933141,5.435261,0.011209,0.060084
15,1.927925,1.887215,0.040710,0.438368,0.438212,0.123700,0.001000,30,0.448830,0.003715,0.105654,0.551170,-0.007470,4.585706,3.975528,5.437496,0.013366,0.059465
16,1.914948,1.876014,0.038933,0.438568,0.443911,0.125643,0.001000,29,0.450450,0.003735,0.099623,0.549550,-0.013555,4.550224,4.033822,5.399422,0.015667,0.059072
17,1.887610,1.850511,0.037099,0.447266,0.448710,0.128373,0.001000,30,0.429648,0.003478,0.094904,0.570352,-0.005298,4.615697,4.021632,5.386426,0.017912,0.056190
18,1.860294,1.825071,0.035223,0.454864,0.448710,0.130816,0.001000,30,0.417547,0.003543,0.089454,0.582453,-0.003404,4.651696,4.024162,5.302721,0.019448,0.056255
19,1.834305,1.800670,0.033634,0.459462,0.449310,0.123946,0.001000,29,0.405738,0.003581,0.084946,0.594262,-0.006195,4.690029,4.021683,5.200368,0.020570,0.056192
20,1.810767,1.778344,0.032423,0.457563,0.453209,0.137596,0.001000,30,0.388336,0.003291,0.082080,0.611664,0.000717,4.743678,3.993857,5.167053,0.021387,0.053228
21,1.780704,1.749085,0.031619,0.465660,0.453209,0.145077,0.001000,30,0.387667,0.003163,0.079446,0.612333,0.000186,4.707315,3.946366,5.140728,0.021713,0.051877
22,1.760113,1.729309,0.030804,0.468959,0.461608,0.139484,0.001000,29,0.383620,0.003113,0.077000,0.616380,-0.000368,4.703232,3.902579,5.129340,0.021112,0.051646
23,1.733914,1.704836,0.029078,0.470659,0.459508,0.149230,0.001000,30,0.366122,0.002993,0.072417,0.633878,0.001030,4.785150,3.855959,5.149594,0.019987,0.050922
24,1.718778,1.690295,0.028482,0.473858,0.460408,0.158735,0.001000,29,0.367356,0.002987,0.070351,0.632644,-0.003233,4.783817,3.797852,5.138989,0.019632,0.051010
