epoch,train_total_loss,train_ce_loss,train_aux_loss,train_acc,val_acc,val_macro_f1,lr,patience_left,common_loss,orth_loss,recon_loss,common_sim,private_sim,c_norm,pt_norm,pv_norm,cp_overlap_t,cp_overlap_v
1,3.291714,3.159433,0.132281,0.019094,0.329334,0.024774,0.001000,30,0.791267,0.000052,0.388184,0.208733,0.016784,3.520765,4.180572,4.007141,0.004351,0.005779
2,2.610357,2.494729,0.115628,0.329301,0.329634,0.026862,0.001000,30,0.555709,0.000038,0.348378,0.444291,-0.063343,4.234450,4.925984,4.632380,0.003123,0.005332
3,2.524168,2.414990,0.109178,0.291213,0.329334,0.024774,0.001000,30,0.433385,0.000031,0.335032,0.566615,-0.065495,4.577361,5.355286,4.885139,0.002395,0.005010
4,2.412619,2.315925,0.096695,0.328701,0.329334,0.024774,0.001000,29,0.359828,0.000031,0.298326,0.640172,-0.087548,4.790315,5.488224,4.942802,0.002078,0.005120
5,2.359712,2.278506,0.081205,0.329301,0.329334,0.024774,0.001000,28,0.307550,0.000040,0.250180,0.692450,-0.105689,4.974889,5.587035,4.935209,0.001921,0.005996
6,2.322947,2.256444,0.066504,0.329801,0.348530,0.042982,0.001000,27,0.272490,0.000071,0.203511,0.727510,-0.114027,5.116952,5.682098,4.824634,0.001869,0.008187
7,2.263707,2.208253,0.055454,0.346896,0.392322,0.064415,0.001000,30,0.259922,0.000158,0.167515,0.740078,-0.114332,5.178694,5.766382,4.618807,0.001914,0.012440
8,2.200468,2.151126,0.049342,0.391782,0.399220,0.073827,0.001000,30,0.276118,0.000362,0.146053,0.723882,-0.095896,5.152480,5.830957,4.402044,0.002039,0.018912
9,2.150640,2.103940,0.046701,0.400280,0.396821,0.071017,0.001000,30,0.313293,0.000681,0.134760,0.686707,-0.050211,5.055237,5.864304,4.323874,0.002243,0.026006
10,2.107859,2.062329,0.045531,0.397981,0.404019,0.076903,0.001000,29,0.350886,0.001038,0.128343,0.649114,0.009382,4.941008,5.854653,4.447435,0.002543,0.032119
11,2.066182,2.021612,0.044570,0.404279,0.413317,0.092849,0.001000,30,0.386461,0.001339,0.122757,0.613539,0.051742,4.798397,5.794744,4.597713,0.002942,0.036473
12,2.025603,1.982298,0.043304,0.420274,0.418416,0.097735,0.001000,30,0.420968,0.001720,0.116226,0.579032,0.062467,4.635447,5.673772,4.609703,0.003374,0.041337
13,1.995122,1.952743,0.042379,0.420474,0.428014,0.096385,0.001000,30,0.445631,0.002080,0.111485,0.554369,0.073609,4.520030,5.517709,4.603229,0.003924,0.045439
14,1.963474,1.921888,0.041586,0.433970,0.434613,0.109080,0.001000,30,0.450685,0.002197,0.108502,0.549315,0.095007,4.482026,5.375832,4.680684,0.004612,0.046647
15,1.931426,1.891066,0.040360,0.436269,0.432514,0.119431,0.001000,30,0.448000,0.002381,0.104586,0.552000,0.089640,4.473152,5.214061,4.670726,0.005471,0.048491
16,1.909794,1.871347,0.038447,0.437269,0.439712,0.116476,0.001000,29,0.439456,0.002584,0.098772,0.560544,0.081137,4.468522,5.102839,4.655910,0.006527,0.050409
17,1.878905,1.842235,0.036670,0.446666,0.439412,0.123558,0.001000,30,0.427116,0.002615,0.093673,0.572884,0.084902,4.466876,5.120687,4.705763,0.007805,0.050534
18,1.842842,1.807549,0.035293,0.448166,0.440612,0.136243,0.001000,29,0.423094,0.002741,0.089346,0.576906,0.074408,4.461644,5.077808,4.683376,0.009218,0.051535
19,1.825316,1.791273,0.034043,0.447866,0.448110,0.129280,0.001000,30,0.419584,0.002759,0.085413,0.580416,0.067610,4.462017,5.003668,4.643693,0.010745,0.051415
20,1.800247,1.766865,0.033383,0.455563,0.454709,0.149310,0.001000,30,0.414262,0.002564,0.083572,0.585738,0.073079,4.460937,4.989550,4.648697,0.012660,0.049024
21,1.768066,1.736035,0.032031,0.460462,0.452310,0.169248,0.001000,30,0.415630,0.002499,0.078978,0.584370,0.073638,4.439454,4.911493,4.599873,0.014014,0.047990
22,1.748707,1.717828,0.030879,0.463461,0.464607,0.159485,0.001000,29,0.414316,0.002451,0.075227,0.585684,0.074562,4.428327,4.857764,4.557609,0.014365,0.047375
23,1.716007,1.685848,0.030159,0.472158,0.467606,0.160537,0.001000,30,0.409943,0.002315,0.073124,0.590057,0.078415,4.430261,4.921290,4.566059,0.014387,0.045909
24,1.696800,1.667320,0.029480,0.474658,0.461908,0.191432,0.001000,30,0.407900,0.002191,0.071000,0.592100,0.084092,4.410378,4.937334,4.550766,0.014170,0.044615
25,1.674353,1.645295,0.029058,0.480256,0.473005,0.203299,0.001000,29,0.407512,0.002091,0.069623,0.592488,0.086990,4.370725,4.912345,4.511597,0.014177,0.043473
