epoch,train_total_loss,train_ce_loss,train_aux_loss,train_acc,val_acc,val_macro_f1,lr,patience_left,common_loss,orth_loss,recon_loss,common_sim,private_sim,c_norm,pt_norm,pv_norm,cp_overlap_t,cp_overlap_v
1,3.339729,3.207448,0.132281,0.018195,0.329334,0.024774,0.001000,30,0.791267,0.000052,0.388184,0.208733,0.016784,3.520765,4.180572,4.007141,0.004351,0.005779
2,2.567710,2.439471,0.128240,0.329301,0.329334,0.024774,0.001000,30,0.713654,0.000029,0.379888,0.286346,-0.028179,3.816170,4.765955,4.604588,0.003340,0.004219
3,2.459043,2.337351,0.121692,0.325002,0.329334,0.024774,0.001000,29,0.635137,0.000022,0.363297,0.364863,-0.085276,4.080565,5.156208,4.836976,0.002728,0.003776
4,2.395877,2.290776,0.105101,0.329001,0.329334,0.024774,0.001000,28,0.529582,0.000026,0.315032,0.470418,-0.098528,4.333172,5.374931,4.906446,0.002567,0.004399
5,2.351822,2.266756,0.085066,0.329901,0.378824,0.060079,0.001000,27,0.440242,0.000049,0.254201,0.559758,-0.099095,4.538599,5.521285,4.829794,0.002643,0.006456
6,2.281849,2.213991,0.067858,0.366790,0.392022,0.064258,0.001000,30,0.385680,0.000120,0.200477,0.614320,-0.092929,4.666517,5.636290,4.655899,0.002958,0.010541
7,2.208185,2.151227,0.056957,0.392782,0.399220,0.070169,0.001000,30,0.367350,0.000323,0.165357,0.632650,-0.078737,4.702868,5.731581,4.443951,0.003607,0.017597
8,2.141424,2.089411,0.052013,0.399680,0.398020,0.069360,0.001000,30,0.380889,0.000761,0.147958,0.619111,-0.061815,4.676737,5.759740,4.387851,0.004634,0.027188
9,2.095481,2.045899,0.049582,0.397381,0.416317,0.089757,0.001000,29,0.404868,0.001321,0.138239,0.595132,-0.047483,4.625914,5.694928,4.508343,0.005984,0.035851
10,2.058453,2.011083,0.047370,0.409677,0.430714,0.101018,0.001000,30,0.430503,0.001749,0.129141,0.569497,-0.047828,4.522553,5.570448,4.539814,0.007571,0.041129
11,2.026321,1.981735,0.044586,0.420374,0.427115,0.094818,0.001000,30,0.438266,0.001976,0.119335,0.561734,-0.056692,4.487141,5.388369,4.563578,0.009311,0.043464
12,2.000140,1.957801,0.042340,0.427772,0.425915,0.109125,0.001000,29,0.421553,0.001990,0.112964,0.578447,-0.065598,4.590215,5.233279,4.695334,0.010858,0.043263
13,1.975049,1.935161,0.039888,0.424873,0.441212,0.110000,0.001000,28,0.424324,0.002180,0.104599,0.575676,-0.067761,4.614986,5.197835,4.606027,0.013025,0.044842
14,1.935300,1.896911,0.038389,0.442767,0.445411,0.117120,0.001000,30,0.416776,0.002099,0.100110,0.583224,-0.071069,4.679042,5.111425,4.735307,0.015605,0.043071
15,1.901685,1.865432,0.036254,0.447366,0.441512,0.130249,0.001000,30,0.417011,0.002222,0.092970,0.582989,-0.064910,4.695514,5.001289,4.734258,0.018910,0.043184
16,1.884259,1.849916,0.034343,0.446066,0.443911,0.111038,0.001000,29,0.413083,0.002451,0.086857,0.586917,-0.045449,4.704583,4.864886,4.664199,0.022141,0.044283
17,1.861602,1.828780,0.032822,0.446066,0.455309,0.130147,0.001000,28,0.398211,0.002427,0.082777,0.601789,-0.039076,4.723128,4.785871,4.752527,0.024593,0.042682
18,1.818115,1.786157,0.031958,0.460162,0.444811,0.138831,0.001000,30,0.406086,0.002690,0.079366,0.593914,-0.035125,4.648454,4.800079,4.695017,0.028100,0.043590
19,1.801595,1.770349,0.031246,0.461062,0.464607,0.129801,0.001000,29,0.407211,0.002817,0.076911,0.592789,-0.031237,4.615845,4.866896,4.664578,0.029880,0.043869
20,1.778127,1.748189,0.029938,0.468260,0.466107,0.137495,0.001000,30,0.384619,0.002642,0.074064,0.615381,-0.034544,4.686340,4.911315,4.709490,0.028627,0.042694
21,1.742602,1.713750,0.028853,0.474458,0.461008,0.169053,0.001000,30,0.377007,0.002627,0.070954,0.622993,-0.027155,4.711642,4.929434,4.655420,0.027603,0.043185
22,1.738037,1.709967,0.028070,0.470259,0.469406,0.147056,0.001000,29,0.380649,0.002614,0.068103,0.619351,-0.017820,4.700047,4.949202,4.614258,0.027133,0.043330
23,1.697264,1.670057,0.027207,0.482455,0.477205,0.167110,0.001000,30,0.370262,0.002377,0.065928,0.629738,-0.023436,4.744861,4.951165,4.684643,0.026125,0.041167
24,1.666677,1.640211,0.026467,0.486954,0.473005,0.184659,0.001000,30,0.367088,0.002284,0.063674,0.632912,-0.020062,4.770283,4.928382,4.633054,0.025437,0.040464
25,1.653341,1.627388,0.025953,0.487654,0.487403,0.174400,0.001000,29,0.371478,0.002204,0.061673,0.628522,-0.014350,4.747776,4.894082,4.584399,0.025122,0.039659
26,1.626626,1.601102,0.025524,0.497651,0.489502,0.203949,0.001000,30,0.371903,0.002075,0.060218,0.628097,-0.027754,4.735559,4.890287,4.633117,0.025252,0.037919
27,1.603483,1.578379,0.025104,0.501550,0.480204,0.225860,0.001000,30,0.373689,0.002062,0.058699,0.626311,-0.034294,4.737509,4.936108,4.613913,0.026337,0.036986
28,1.587720,1.563055,0.024665,0.503749,0.502100,0.206082,0.001000,29,0.375714,0.002024,0.057103,0.624286,-0.033549,4.729104,4.943255,4.584135,0.026563,0.036306
29,1.566310,1.542087,0.024222,0.505548,0.497900,0.230482,0.001000,30,0.369863,0.001894,0.056020,0.630137,-0.041286,4.753252,4.966884,4.598112,0.025933,0.034953
30,1.547469,1.523822,0.023647,0.511946,0.495501,0.265825,0.001000,29,0.362783,0.001829,0.054577,0.637217,-0.049182,4.770681,4.988422,4.572489,0.026025,0.033934
31,1.527398,1.503981,0.023417,0.518245,0.505999,0.232815,0.001000,28,0.361572,0.001801,0.053891,0.638428,-0.048830,4.758173,4.978829,4.556711,0.026034,0.033512
32,1.508688,1.485883,0.022805,0.512246,0.507199,0.263617,0.001000,30,0.351930,0.001656,0.052500,0.648070,-0.052441,4.788975,4.966565,4.569931,0.024644,0.032385
33,1.481438,1.459045,0.022393,0.527942,0.508098,0.285848,0.001000,30,0.341523,0.001612,0.051821,0.658477,-0.055309,4.817040,4.963739,4.531555,0.024047,0.032149
