epoch,train_total_loss,train_ce_loss,train_aux_loss,train_acc,val_acc,val_macro_f1,lr,patience_left,common_loss,orth_loss,recon_loss,common_sim,private_sim,c_norm,pt_norm,pv_norm,cp_overlap_t,cp_overlap_v
1,3.339729,3.207448,0.132281,0.018195,0.329334,0.024774,0.001000,30,0.791267,0.000052,0.388184,0.208733,0.016784,3.520765,4.180572,4.007141,0.004351,0.005779
2,2.567940,2.439700,0.128240,0.329301,0.329334,0.024774,0.001000,30,0.713654,0.000029,0.379888,0.286346,-0.028179,3.816170,4.765955,4.604588,0.003340,0.004219
3,2.458982,2.337298,0.121684,0.325102,0.329334,0.024774,0.001000,29,0.635473,0.000022,0.363247,0.364527,-0.084826,4.079894,5.154943,4.838194,0.002728,0.003777
4,2.396214,2.291121,0.105093,0.329001,0.329334,0.024774,0.001000,28,0.529661,0.000026,0.314998,0.470339,-0.098286,4.334486,5.370632,4.907982,0.002566,0.004399
5,2.352735,2.267679,0.085055,0.329701,0.376425,0.059049,0.001000,27,0.440107,0.000049,0.254176,0.559893,-0.099031,4.542013,5.511509,4.835238,0.002642,0.006452
6,2.284115,2.216290,0.067824,0.365490,0.392022,0.064258,0.001000,30,0.385672,0.000120,0.200366,0.614328,-0.093066,4.669603,5.617383,4.672566,0.002959,0.010530
7,2.211529,2.154652,0.056877,0.392982,0.398920,0.069900,0.001000,30,0.367882,0.000323,0.165052,0.632118,-0.079198,4.702590,5.697461,4.476457,0.003615,0.017604
8,2.143853,2.091928,0.051925,0.399280,0.398320,0.069460,0.001000,30,0.382762,0.000769,0.147541,0.617238,-0.062248,4.670939,5.699991,4.427828,0.004657,0.027333
9,2.096195,2.046619,0.049576,0.397381,0.416617,0.090132,0.001000,29,0.408846,0.001356,0.137953,0.591154,-0.048628,4.614037,5.605552,4.552736,0.006023,0.036330
10,2.060412,2.012920,0.047492,0.410077,0.429514,0.100952,0.001000,30,0.436078,0.001810,0.129176,0.563922,-0.050744,4.504352,5.462412,4.588847,0.007596,0.041864
11,2.027889,1.983153,0.044737,0.419374,0.427115,0.095305,0.001000,30,0.443427,0.002050,0.119493,0.556573,-0.059945,4.466784,5.281213,4.612275,0.009320,0.044308
12,1.998909,1.956465,0.042444,0.427372,0.424415,0.108512,0.001000,29,0.425631,0.002070,0.113036,0.574369,-0.068161,4.573787,5.129711,4.740810,0.010867,0.044182
13,1.976806,1.936753,0.040053,0.424173,0.439412,0.108304,0.001000,28,0.427897,0.002252,0.104908,0.572103,-0.070673,4.601623,5.113060,4.659072,0.013004,0.045640
14,1.941475,1.902787,0.038688,0.438668,0.445111,0.117542,0.001000,30,0.419075,0.002119,0.100951,0.580925,-0.073692,4.674729,5.024846,4.814405,0.015504,0.043348
15,1.902948,1.866557,0.036392,0.448965,0.441812,0.130224,0.001000,30,0.420253,0.002273,0.093213,0.579747,-0.066581,4.689052,4.931782,4.793458,0.018649,0.043873
16,1.887854,1.853427,0.034428,0.446666,0.443611,0.110057,0.001000,29,0.416360,0.002495,0.086918,0.583640,-0.046600,4.698755,4.809815,4.723828,0.021716,0.044988
17,1.865714,1.832774,0.032940,0.445866,0.456209,0.131022,0.001000,28,0.402129,0.002442,0.082911,0.597871,-0.038425,4.715219,4.716097,4.820841,0.024216,0.043077
18,1.820244,1.788155,0.032090,0.459562,0.442112,0.138895,0.001000,30,0.410278,0.002719,0.079523,0.589722,-0.033865,4.637675,4.740389,4.765527,0.027779,0.044126
19,1.808113,1.776653,0.031460,0.459462,0.464307,0.130201,0.001000,29,0.413403,0.002875,0.077209,0.586597,-0.027684,4.594603,4.803282,4.726352,0.029664,0.044668
20,1.779960,1.749894,0.030066,0.465960,0.469706,0.136914,0.001000,30,0.391766,0.002694,0.074013,0.608234,-0.029160,4.656439,4.813698,4.782043,0.028573,0.043328
21,1.747458,1.718392,0.029066,0.472058,0.455909,0.166712,0.001000,30,0.384665,0.002678,0.071153,0.615335,-0.023928,4.673707,4.836330,4.739631,0.027499,0.043841
22,1.741048,1.712672,0.028376,0.469059,0.472106,0.156907,0.001000,29,0.391532,0.002723,0.068392,0.608468,-0.017000,4.645390,4.875331,4.687642,0.027138,0.044575
23,1.694252,1.666660,0.027592,0.484255,0.477804,0.160686,0.001000,30,0.385723,0.002493,0.066176,0.614277,-0.020593,4.667501,4.866208,4.760277,0.026155,0.042532
24,1.672064,1.645246,0.026818,0.484755,0.477205,0.187789,0.001000,30,0.379990,0.002333,0.063982,0.620010,-0.018132,4.695800,4.827664,4.737001,0.025037,0.041305
25,1.651243,1.625003,0.026240,0.489953,0.488602,0.180565,0.001000,29,0.382169,0.002250,0.061914,0.617831,-0.012294,4.684019,4.793715,4.667900,0.024342,0.040714
26,1.622491,1.596678,0.025813,0.498750,0.489802,0.195968,0.001000,30,0.385370,0.002127,0.060281,0.614630,-0.023611,4.655964,4.783716,4.698677,0.024378,0.039144
27,1.604887,1.579489,0.025398,0.500950,0.485303,0.232368,0.001000,30,0.386355,0.002055,0.058834,0.613645,-0.032286,4.653783,4.813848,4.707819,0.025236,0.037662
28,1.588723,1.563779,0.024944,0.504249,0.497600,0.207694,0.001000,29,0.385957,0.002007,0.057350,0.614043,-0.032435,4.655821,4.816619,4.662117,0.025465,0.036859
29,1.565155,1.540661,0.024494,0.506648,0.499400,0.220769,0.001000,30,0.379158,0.001875,0.056307,0.620842,-0.039433,4.681939,4.819242,4.663488,0.024672,0.035588
30,1.548655,1.524728,0.023927,0.510047,0.493701,0.263449,0.001000,30,0.371627,0.001780,0.054923,0.628373,-0.048261,4.699068,4.830766,4.650545,0.024463,0.034374
31,1.530711,1.507073,0.023639,0.514146,0.503599,0.238591,0.001000,29,0.370043,0.001748,0.054068,0.629957,-0.048791,4.683948,4.821800,4.628320,0.024481,0.033895
32,1.505655,1.482666,0.022989,0.513846,0.502699,0.258968,0.001000,30,0.359104,0.001607,0.052636,0.640896,-0.052574,4.714366,4.772449,4.648475,0.023254,0.032649
33,1.482897,1.460287,0.022609,0.527842,0.510198,0.282021,0.001000,29,0.349590,0.001564,0.052006,0.650410,-0.055568,4.734132,4.757784,4.613968,0.022415,0.032584
34,1.457824,1.435554,0.022270,0.533740,0.511998,0.294864,0.001000,30,0.344957,0.001516,0.051185,0.655043,-0.055349,4.730213,4.758270,4.628060,0.022153,0.032012
35,1.439371,1.417561,0.021810,0.545436,0.509598,0.287039,0.001000,30,0.337783,0.001435,0.050133,0.662217,-0.054011,4.738049,4.751376,4.634011,0.021382,0.031270
36,1.425573,1.404189,0.021384,0.546036,0.512897,0.289530,0.001000,29,0.327971,0.001409,0.049367,0.672029,-0.055553,4.773536,4.750796,4.606616,0.020512,0.031432
37,1.406256,1.385107,0.021150,0.545736,0.519496,0.324474,0.001000,30,0.327632,0.001361,0.048611,0.672368,-0.051918,4.762938,4.749347,4.631681,0.020277,0.030814
38,1.389705,1.368733,0.020972,0.555333,0.517097,0.297909,0.001000,30,0.327467,0.001356,0.048030,0.672533,-0.053464,4.756289,4.763844,4.639813,0.020247,0.030764
39,1.372902,1.352286,0.020616,0.558233,0.520996,0.308516,0.001000,29,0.315761,0.001296,0.047628,0.684239,-0.057621,4.810604,4.755042,4.636495,0.019704,0.030122
40,1.367200,1.346743,0.020457,0.558632,0.515897,0.310306,0.001000,30,0.315875,0.001309,0.047089,0.684125,-0.046258,4.820083,4.771466,4.649012,0.019603,0.030410
41,1.363500,1.343244,0.020256,0.554334,0.520696,0.354625,0.001000,29,0.310500,0.001232,0.046780,0.689500,-0.056445,4.837256,4.789539,4.657754,0.019511,0.029171
42,1.333368,1.313174,0.020194,0.571728,0.521296,0.301716,0.001000,28,0.314025,0.001302,0.046336,0.685975,-0.042920,4.836094,4.771059,4.661372,0.020157,0.029932
43,1.317395,1.297441,0.019954,0.567130,0.523695,0.338640,0.001000,30,0.304370,0.001257,0.046180,0.695630,-0.045187,4.896194,4.741613,4.673183,0.019817,0.029405
44,1.304300,1.284312,0.019988,0.577627,0.522795,0.346422,0.001000,30,0.305272,0.001288,0.046233,0.694728,-0.050057,4.893234,4.783155,4.668786,0.019998,0.029800
45,1.294407,1.274280,0.020128,0.575127,0.528194,0.358318,0.001000,29,0.309403,0.001285,0.046423,0.690597,-0.034012,4.895823,4.758641,4.725647,0.020618,0.029331
46,1.270127,1.250101,0.020026,0.591023,0.535393,0.353443,0.001000,30,0.300967,0.001277,0.046646,0.699033,-0.040657,4.950940,4.761567,4.672131,0.020106,0.029540
47,1.247336,1.227240,0.020096,0.593422,0.532993,0.385306,0.001000,30,0.304068,0.001282,0.046673,0.695932,-0.039128,4.951144,4.753557,4.701242,0.020694,0.029214
48,1.240553,1.220192,0.020361,0.594522,0.531794,0.381381,0.001000,29,0.313667,0.001319,0.046916,0.686333,-0.036107,4.915676,4.773848,4.729075,0.021463,0.029304
49,1.221173,1.200915,0.020257,0.597921,0.538092,0.354795,0.001000,28,0.303520,0.001259,0.047247,0.696480,-0.045496,4.970670,4.783258,4.675497,0.020917,0.028659
50,1.207020,1.186808,0.020212,0.600920,0.538692,0.391555,0.001000,30,0.296521,0.001229,0.047563,0.703479,-0.044575,5.013426,4.750659,4.701458,0.020906,0.028148
51,1.188688,1.168182,0.020507,0.606918,0.536593,0.380646,0.001000,30,0.308702,0.001294,0.047732,0.691298,-0.041709,4.965611,4.780695,4.703838,0.021638,0.028745
52,1.187688,1.166963,0.020726,0.611716,0.540792,0.402412,0.001000,29,0.309177,0.001229,0.048433,0.690823,-0.048327,4.954628,4.803247,4.707018,0.021465,0.027719
53,1.156501,1.135825,0.020675,0.622713,0.535093,0.368031,0.001000,30,0.299289,0.001213,0.048925,0.700711,-0.043052,5.011662,4.791266,4.668446,0.020888,0.027872
54,1.150962,1.130117,0.020845,0.621614,0.538092,0.407525,0.001000,29,0.295226,0.001179,0.049762,0.704774,-0.041706,5.045524,4.803266,4.684408,0.020830,0.027304
55,1.123695,1.102484,0.021211,0.635909,0.543191,0.419339,0.001000,28,0.299982,0.001189,0.050665,0.700018,-0.048166,5.008538,4.864019,4.656125,0.021273,0.027129
56,1.103930,1.082444,0.021486,0.640808,0.540192,0.382462,0.001000,30,0.299071,0.001178,0.051642,0.700929,-0.043757,5.020651,4.875346,4.644661,0.021370,0.026858
57,1.102141,1.080573,0.021568,0.640108,0.538092,0.422418,0.001000,29,0.287837,0.001099,0.052666,0.712163,-0.037604,5.095180,4.858294,4.642266,0.020481,0.026073
58,1.080472,1.058387,0.022085,0.650305,0.534493,0.389225,0.001000,28,0.291359,0.001096,0.054155,0.708641,-0.038586,5.081174,4.899001,4.602235,0.020329,0.026120
59,1.085344,1.062819,0.022525,0.644507,0.532094,0.422424,0.001000,27,0.294092,0.001072,0.055442,0.705908,-0.045652,5.071588,4.908274,4.633184,0.020799,0.025291
60,1.079801,1.056659,0.023142,0.648605,0.531794,0.361887,0.001000,26,0.295202,0.001071,0.057423,0.704798,-0.037706,5.087343,4.953486,4.581935,0.020185,0.025764
61,1.085932,1.062539,0.023393,0.631111,0.538092,0.439472,0.001000,25,0.280088,0.000983,0.059272,0.719912,-0.036211,5.175653,4.882309,4.597313,0.019871,0.024255
62,1.017073,0.992707,0.024365,0.671099,0.537792,0.422641,0.001000,24,0.296758,0.001070,0.061399,0.703242,-0.031548,5.113930,4.927647,4.576657,0.020876,0.025189
63,1.024476,0.999199,0.025277,0.670399,0.538092,0.397960,0.001000,23,0.302462,0.001093,0.064057,0.697538,-0.035723,5.080177,5.004011,4.593815,0.021165,0.025402
64,1.019936,0.994210,0.025726,0.663301,0.544991,0.416435,0.001000,22,0.290945,0.001036,0.066322,0.709055,-0.029682,5.162051,4.915390,4.574952,0.021117,0.024295
65,0.980218,0.953790,0.026428,0.679696,0.535093,0.441373,0.001000,30,0.286827,0.000992,0.068937,0.713173,-0.027139,5.183328,4.954031,4.558228,0.020106,0.024234
66,0.987046,0.959421,0.027625,0.681895,0.537493,0.426493,0.001000,29,0.306845,0.001030,0.071593,0.693155,-0.027268,5.098045,5.032059,4.581830,0.020504,0.024684
