epoch,oft_l1_c_to_pt_router_entropy,oft_l1_c_to_pt_transfer_mean,oft_l1_c_to_pt_transfer_std,oft_l1_c_to_pv_router_entropy,oft_l1_c_to_pv_transfer_mean,oft_l1_c_to_pv_transfer_std,oft_l1_pt_to_c_router_entropy,oft_l1_pt_to_c_transfer_mean,oft_l1_pt_to_c_transfer_std,oft_l1_pt_to_pv_router_entropy,oft_l1_pt_to_pv_transfer_mean,oft_l1_pt_to_pv_transfer_std,oft_l1_pv_to_c_router_entropy,oft_l1_pv_to_c_transfer_mean,oft_l1_pv_to_c_transfer_std,oft_l1_pv_to_pt_router_entropy,oft_l1_pv_to_pt_transfer_mean,oft_l1_pv_to_pt_transfer_std
1,0.6931,0.5,0.0,0.6931,0.5,0.0,0.6931,0.5,0.0,0.6931,0.5,0.0,0.6931,0.5,0.0,0.6931,0.5,0.0
2,0.6931,0.5,0.0,0.6931,0.5,0.0,0.6931,0.5,0.0,0.6931,0.5,0.0,0.6931,0.5,0.0,0.6931,0.5,0.0
3,0.6931,0.4964,0.0002,0.6931,0.4969,0.0002,0.6931,0.4972,0.0001,0.6931,0.4972,0.0001,0.6931,0.4972,0.0001,0.6931,0.4968,0.0002
4,0.693,0.4926,0.0003,0.693,0.4921,0.0003,0.693,0.4923,0.0002,0.693,0.4921,0.0003,0.693,0.4918,0.0002,0.693,0.492,0.0003
5,0.6928,0.4874,0.0004,0.6926,0.4842,0.0005,0.6928,0.4864,0.0004,0.6926,0.4841,0.0006,0.6927,0.4855,0.0003,0.6928,0.4861,0.0004
6,0.6924,0.4813,0.0006,0.6918,0.474,0.0012,0.6924,0.4803,0.0005,0.6918,0.4743,0.0012,0.6923,0.4797,0.0005,0.6924,0.4807,0.0006
7,0.6919,0.4751,0.0008,0.6905,0.4637,0.0027,0.6919,0.4749,0.0008,0.6907,0.4649,0.0028,0.6919,0.4753,0.0008,0.692,0.4765,0.0008
8,0.6912,0.4689,0.0012,0.6893,0.4563,0.0058,0.6914,0.4702,0.0011,0.6897,0.4588,0.006,0.6916,0.472,0.0011,0.6917,0.4733,0.0011
9,0.6903,0.4623,0.0016,0.6884,0.4526,0.0101,0.6909,0.4664,0.0016,0.6892,0.4569,0.0103,0.6914,0.4703,0.0016,0.6915,0.471,0.0016
10,0.6896,0.4582,0.0023,0.6875,0.4486,0.0137,0.6908,0.4659,0.0022,0.6887,0.4551,0.0139,0.6917,0.4728,0.0021,0.6916,0.4727,0.0022
11,0.6895,0.4573,0.0029,0.6859,0.4425,0.0172,0.6911,0.4681,0.0028,0.6879,0.4516,0.0174,0.6922,0.4785,0.0028,0.6922,0.4784,0.0027
12,0.6895,0.4573,0.0036,0.6816,0.4268,0.0196,0.6912,0.4688,0.0036,0.6848,0.4386,0.0199,0.6925,0.4827,0.0036,0.6927,0.4852,0.0033
13,0.6897,0.4586,0.0042,0.6771,0.4134,0.0214,0.6914,0.4707,0.0041,0.6818,0.4281,0.0218,0.6928,0.4881,0.004,0.693,0.4933,0.0039
14,0.6899,0.46,0.0048,0.6707,0.3967,0.021,0.6914,0.4705,0.0044,0.6774,0.4142,0.0215,0.693,0.4914,0.0043,0.6931,0.501,0.0043
15,0.6901,0.4615,0.0055,0.6615,0.3764,0.0197,0.6912,0.4695,0.0047,0.6709,0.397,0.0202,0.693,0.4941,0.0046,0.6929,0.5096,0.0048
16,0.6904,0.4636,0.0062,0.6581,0.37,0.0203,0.6916,0.4726,0.0049,0.6695,0.3939,0.0209,0.6931,0.5013,0.0048,0.6924,0.5192,0.0053
17,0.6908,0.4666,0.0072,0.6491,0.354,0.0191,0.6916,0.4728,0.0053,0.6638,0.3812,0.0198,0.693,0.5061,0.0052,0.6912,0.5305,0.0062
18,0.6914,0.4712,0.0082,0.65,0.3557,0.0202,0.6921,0.4783,0.006,0.6661,0.3862,0.0209,0.6926,0.5161,0.0058,0.6894,0.5424,0.0069
19,0.6922,0.4799,0.0089,0.6446,0.3469,0.0204,0.6926,0.4844,0.0071,0.6635,0.3808,0.0212,0.6915,0.5276,0.0068,0.6858,0.56,0.0075
20,0.6927,0.4896,0.0103,0.6428,0.3444,0.0224,0.6929,0.495,0.0086,0.6638,0.3819,0.0233,0.6892,0.5435,0.0083,0.6806,0.5786,0.0088
21,0.6929,0.5007,0.0118,0.6399,0.3403,0.0248,0.6928,0.508,0.0104,0.6635,0.3817,0.0258,0.6852,0.562,0.0099,0.673,0.5996,0.01
22,0.6925,0.5117,0.0135,0.6325,0.3299,0.0268,0.6919,0.522,0.0121,0.66,0.3752,0.028,0.6793,0.5822,0.0115,0.6629,0.6219,0.0113
