epoch,oft_l1_c_to_pt_router_entropy,oft_l1_c_to_pt_transfer_mean,oft_l1_c_to_pt_transfer_std,oft_l1_c_to_pv_router_entropy,oft_l1_c_to_pv_transfer_mean,oft_l1_c_to_pv_transfer_std,oft_l1_pt_to_c_router_entropy,oft_l1_pt_to_c_transfer_mean,oft_l1_pt_to_c_transfer_std,oft_l1_pt_to_pv_router_entropy,oft_l1_pt_to_pv_transfer_mean,oft_l1_pt_to_pv_transfer_std,oft_l1_pv_to_c_router_entropy,oft_l1_pv_to_c_transfer_mean,oft_l1_pv_to_c_transfer_std,oft_l1_pv_to_pt_router_entropy,oft_l1_pv_to_pt_transfer_mean,oft_l1_pv_to_pt_transfer_std
1,0.6931,0.5,0.0,0.6931,0.5,0.0,0.6931,0.5,0.0,0.6931,0.5,0.0,0.6931,0.5,0.0,0.6931,0.5,0.0
2,0.6931,0.5,0.0,0.6931,0.5,0.0,0.6931,0.5,0.0,0.6931,0.5,0.0,0.6931,0.5,0.0,0.6931,0.5,0.0
3,0.6931,0.4967,0.0001,0.6931,0.498,0.0001,0.6931,0.4965,0.0001,0.6931,0.498,0.0001,0.6931,0.4964,0.0001,0.6931,0.4965,0.0001
4,0.693,0.493,0.0002,0.693,0.4914,0.0002,0.6931,0.4943,0.0002,0.693,0.4917,0.0002,0.6931,0.4942,0.0002,0.6931,0.4932,0.0002
5,0.6928,0.4877,0.0004,0.6925,0.4826,0.0005,0.693,0.4915,0.0003,0.6926,0.4834,0.0005,0.693,0.4916,0.0003,0.6929,0.4887,0.0004
6,0.6924,0.4808,0.0006,0.6919,0.4751,0.001,0.6927,0.4849,0.0005,0.692,0.4762,0.0009,0.6927,0.485,0.0005,0.6925,0.4823,0.0006
7,0.6917,0.4731,0.0008,0.6917,0.4729,0.0018,0.6918,0.4743,0.0008,0.6918,0.4738,0.0018,0.6918,0.4741,0.0008,0.6918,0.4741,0.0008
8,0.6907,0.4649,0.001,0.692,0.476,0.0032,0.6901,0.4613,0.0011,0.692,0.4762,0.0031,0.69,0.4601,0.0011,0.6906,0.4644,0.001
9,0.6891,0.4553,0.0014,0.6923,0.4805,0.005,0.6874,0.4466,0.0016,0.6923,0.4798,0.005,0.6869,0.4442,0.0016,0.6887,0.4528,0.0014
10,0.6871,0.4453,0.002,0.6926,0.4849,0.0071,0.6841,0.4328,0.0024,0.6925,0.4829,0.007,0.6828,0.4283,0.0024,0.6858,0.4394,0.002
11,0.6851,0.4366,0.003,0.6928,0.4896,0.0093,0.68,0.4193,0.0036,0.6926,0.4857,0.0092,0.6776,0.4121,0.0036,0.6822,0.4262,0.003
12,0.6829,0.4286,0.0044,0.6928,0.493,0.012,0.6745,0.4039,0.0052,0.6925,0.4872,0.0119,0.6704,0.3939,0.0051,0.6781,0.4135,0.0044
13,0.6822,0.4265,0.0064,0.6927,0.4962,0.0139,0.6685,0.3898,0.0072,0.6925,0.4883,0.0138,0.6624,0.3768,0.0072,0.6754,0.4064,0.0064
14,0.6814,0.424,0.0081,0.6927,0.4982,0.0149,0.6612,0.3747,0.0093,0.6924,0.4881,0.0148,0.6525,0.3587,0.0092,0.6723,0.3985,0.0082
15,0.68,0.4197,0.0095,0.6926,0.5027,0.0156,0.6492,0.3534,0.012,0.6925,0.4901,0.0156,0.6368,0.3342,0.0118,0.6677,0.3881,0.0097
16,0.6806,0.4218,0.0114,0.6923,0.5133,0.0155,0.6367,0.3344,0.0148,0.6926,0.4978,0.0156,0.62,0.3117,0.0146,0.6655,0.3836,0.0117
17,0.6782,0.4148,0.0125,0.6918,0.5212,0.0153,0.6201,0.3121,0.0173,0.6927,0.503,0.0154,0.5981,0.2863,0.0169,0.6584,0.3696,0.0128
18,0.6786,0.4161,0.0136,0.6908,0.5308,0.0147,0.6108,0.3008,0.0188,0.6925,0.5103,0.0149,0.5843,0.2719,0.0182,0.6556,0.3646,0.014
19,0.6792,0.4183,0.0154,0.689,0.5432,0.015,0.5928,0.2809,0.0199,0.6919,0.5197,0.0153,0.5603,0.249,0.0189,0.6526,0.3595,0.0158
20,0.6791,0.418,0.0155,0.6858,0.5583,0.0161,0.5827,0.2705,0.0204,0.6905,0.5322,0.0165,0.545,0.2356,0.0192,0.6483,0.3522,0.0159
21,0.6789,0.4172,0.0152,0.6812,0.575,0.0184,0.5753,0.2632,0.0208,0.6882,0.5461,0.0189,0.5326,0.2254,0.0193,0.6432,0.3442,0.0156
22,0.6804,0.4218,0.0154,0.6751,0.5921,0.0216,0.5643,0.2529,0.0214,0.6849,0.5601,0.0224,0.5156,0.2121,0.0196,0.6409,0.3407,0.0156
23,0.6828,0.4299,0.0154,0.6676,0.6093,0.026,0.5632,0.2519,0.0218,0.6806,0.5743,0.027,0.5101,0.208,0.0198,0.6414,0.3414,0.0155
