epoch,train_total_loss,train_ce_loss,train_aux_loss,train_acc,val_acc,val_macro_f1,lr,patience_left,common_loss,orth_loss,recon_loss,common_sim,private_sim,c_norm,pt_norm,pv_norm,cp_overlap_t,cp_overlap_v
1,3.219574,3.087293,0.132281,0.043687,0.329334,0.024774,0.001000,30,0.791267,0.000052,0.388184,0.208733,0.016784,3.520765,4.180572,4.007141,0.004351,0.005779
2,2.549480,2.427474,0.122006,0.329301,0.329334,0.024774,0.001000,30,0.566019,0.000032,0.368951,0.433981,-0.076649,4.103515,4.438894,4.691772,0.002890,0.004852
3,2.480460,2.365776,0.114684,0.324003,0.329334,0.024774,0.001000,29,0.393867,0.000023,0.356022,0.606133,-0.082691,4.647364,4.918815,4.967040,0.002251,0.004186
4,2.398873,2.299321,0.099552,0.328002,0.329334,0.024774,0.001000,28,0.311552,0.000026,0.311069,0.688448,-0.076460,4.937103,5.053312,5.020149,0.002013,0.004658
5,2.358809,2.277054,0.081755,0.329401,0.329334,0.024774,0.001000,27,0.266970,0.000045,0.254717,0.733030,-0.065736,5.083197,5.146124,4.937013,0.002017,0.006428
6,2.309412,2.243712,0.065700,0.330301,0.386023,0.062766,0.001000,26,0.245328,0.000106,0.202643,0.754672,-0.060333,5.177321,5.252569,4.760890,0.002215,0.010043
7,2.241985,2.187234,0.054751,0.375387,0.392921,0.064872,0.001000,30,0.247236,0.000264,0.166011,0.752764,-0.058475,5.208552,5.356857,4.558483,0.002622,0.016037
8,2.172493,2.122688,0.049804,0.396081,0.391722,0.064004,0.001000,30,0.270506,0.000586,0.147961,0.729494,-0.061444,5.159482,5.426847,4.420702,0.003252,0.023989
9,2.120547,2.071856,0.048691,0.395581,0.398920,0.073369,0.001000,29,0.310740,0.001005,0.141553,0.689260,-0.067941,5.021152,5.430990,4.485124,0.004229,0.031425
10,2.078804,2.031323,0.047481,0.403079,0.417516,0.097351,0.001000,30,0.351106,0.001406,0.134816,0.648894,-0.053976,4.861327,5.377948,4.603610,0.005582,0.037077
11,2.049867,2.005018,0.044848,0.418374,0.421716,0.091764,0.001000,30,0.376277,0.001823,0.124348,0.623723,-0.035967,4.724875,5.270778,4.630661,0.007388,0.042058
12,2.015941,1.973436,0.042505,0.420974,0.427714,0.100792,0.001000,30,0.389982,0.002134,0.115614,0.610018,-0.044558,4.616293,5.110139,4.659535,0.009274,0.045251
13,1.981954,1.941307,0.040647,0.425872,0.433113,0.114264,0.001000,30,0.390225,0.002311,0.109398,0.609775,-0.037224,4.564495,4.915954,4.681268,0.011572,0.046656
14,1.951121,1.911721,0.039400,0.436269,0.447810,0.115233,0.001000,30,0.374347,0.002305,0.106300,0.625653,-0.023499,4.613424,4.776190,4.719608,0.013621,0.046036
15,1.919712,1.881441,0.038272,0.443667,0.441512,0.130250,0.001000,30,0.364565,0.002155,0.103196,0.635435,-0.019300,4.643502,4.697412,4.769721,0.015513,0.043754
16,1.889631,1.853525,0.036106,0.443467,0.458908,0.124606,0.001000,29,0.370077,0.002132,0.095609,0.629923,-0.009626,4.597053,4.609758,4.694257,0.017534,0.042713
17,1.857753,1.823252,0.034500,0.454364,0.456809,0.137592,0.001000,30,0.364756,0.001949,0.090619,0.635244,-0.007708,4.594664,4.607926,4.739760,0.018778,0.039960
