epoch,train_total_loss,train_ce_loss,train_aux_loss,train_acc,val_acc,val_macro_f1,lr,patience_left,common_loss,orth_loss,recon_loss,common_sim,private_sim,c_norm,pt_norm,pv_norm,cp_overlap_t,cp_overlap_v
1,3.219574,3.087293,0.132281,0.043687,0.329334,0.024774,0.001000,30,0.791267,0.000052,0.388184,0.208733,0.016784,3.520765,4.180572,4.007141,0.004351,0.005779
2,2.549441,2.427435,0.122006,0.329301,0.329334,0.024774,0.001000,30,0.566019,0.000032,0.368951,0.433981,-0.076649,4.103515,4.438894,4.691772,0.002890,0.004852
3,2.480039,2.365369,0.114670,0.324103,0.329334,0.024774,0.001000,29,0.393880,0.000023,0.355974,0.606120,-0.082600,4.647163,4.918343,4.968030,0.002252,0.004186
4,2.398880,2.299334,0.099546,0.328302,0.329334,0.024774,0.001000,28,0.311521,0.000026,0.311050,0.688479,-0.076571,4.937114,5.051688,5.020734,0.002014,0.004659
5,2.359080,2.277324,0.081757,0.329401,0.329334,0.024774,0.001000,27,0.267079,0.000045,0.254715,0.732921,-0.066256,5.082548,5.142960,4.938677,0.002018,0.006431
6,2.310146,2.244455,0.065692,0.330201,0.385423,0.062574,0.001000,26,0.245701,0.000106,0.202589,0.754299,-0.061107,5.174311,5.245778,4.767660,0.002219,0.010057
7,2.243083,2.188380,0.054703,0.374288,0.392621,0.064594,0.001000,30,0.247950,0.000266,0.165805,0.752050,-0.059311,5.201217,5.343591,4.570529,0.002632,0.016095
8,2.173295,2.123565,0.049730,0.396081,0.392022,0.064286,0.001000,30,0.272043,0.000596,0.147611,0.727957,-0.062082,5.145050,5.404146,4.434745,0.003275,0.024188
9,2.119950,2.071302,0.048647,0.395681,0.398620,0.073258,0.001000,29,0.314094,0.001032,0.141184,0.685906,-0.068784,4.996773,5.396707,4.499074,0.004275,0.031835
10,2.078514,2.030951,0.047563,0.402479,0.416017,0.096361,0.001000,30,0.357027,0.001441,0.134693,0.642973,-0.056995,4.826359,5.329388,4.624943,0.005659,0.037542
11,2.049661,2.004662,0.044999,0.418574,0.421116,0.091151,0.001000,30,0.383422,0.001869,0.124372,0.616578,-0.040645,4.684582,5.211534,4.654824,0.007481,0.042580
12,2.016797,1.974081,0.042716,0.420774,0.425015,0.099687,0.001000,30,0.397254,0.002187,0.115829,0.602746,-0.048521,4.577609,5.053856,4.690578,0.009334,0.045828
13,1.982011,1.941192,0.040819,0.425472,0.433413,0.114230,0.001000,30,0.396148,0.002376,0.109574,0.603852,-0.039692,4.532479,4.868106,4.712036,0.011594,0.047350
14,1.950327,1.910716,0.039612,0.436069,0.446911,0.116240,0.001000,30,0.378004,0.002355,0.106760,0.621996,-0.027287,4.589813,4.735227,4.762239,0.013645,0.046570
15,1.918093,1.879703,0.038390,0.443067,0.441812,0.130497,0.001000,30,0.368678,0.002203,0.103316,0.631322,-0.022052,4.616327,4.644720,4.807299,0.015623,0.044255
16,1.889400,1.853188,0.036211,0.443667,0.457109,0.122526,0.001000,29,0.374065,0.002167,0.095695,0.625935,-0.010881,4.569959,4.559806,4.733417,0.017654,0.043069
17,1.859996,1.825357,0.034639,0.453564,0.452909,0.137529,0.001000,30,0.368463,0.001967,0.090833,0.631537,-0.007288,4.570451,4.559937,4.786207,0.018827,0.040152
18,1.832154,1.798974,0.033180,0.455363,0.463107,0.134156,0.001000,29,0.362581,0.001916,0.086364,0.637419,0.007000,4.585350,4.535521,4.696519,0.019654,0.039117
19,1.797438,1.765412,0.032026,0.461562,0.465807,0.142128,0.001000,30,0.348910,0.001787,0.083432,0.651090,-0.008730,4.627188,4.443433,4.716461,0.020234,0.037110
20,1.771622,1.740537,0.031085,0.468260,0.466107,0.145808,0.001000,30,0.338407,0.001738,0.080998,0.661593,-0.004386,4.659537,4.462040,4.668655,0.019889,0.036635
21,1.742595,1.712571,0.030024,0.474258,0.476605,0.147204,0.001000,30,0.328105,0.001697,0.078150,0.671895,-0.002166,4.685039,4.492828,4.636370,0.019708,0.036170
