epoch,train_total_loss,train_ce_loss,train_aux_loss,train_acc,val_acc,val_macro_f1,lr,patience_left,common_loss,orth_loss,recon_loss,common_sim,private_sim,c_norm,pt_norm,pv_norm,cp_overlap_t,cp_overlap_v
1,3.201573,3.084186,0.117388,0.034690,0.329334,0.024774,0.001000,30,0.754018,0.000064,0.341022,0.245982,0.151426,3.157735,4.427861,4.717122,0.005109,0.006119
2,2.571455,2.459877,0.111578,0.329301,0.329334,0.024774,0.001000,30,0.494267,0.000036,0.338975,0.505733,-0.004376,4.136179,5.379875,5.257187,0.003931,0.004510
3,2.468729,2.364347,0.104382,0.329001,0.329334,0.024774,0.001000,29,0.379836,0.000024,0.322617,0.620164,-0.053469,4.628907,5.739295,5.462004,0.003122,0.003830
4,2.397657,2.306848,0.090809,0.329501,0.329334,0.024774,0.001000,28,0.315409,0.000025,0.281667,0.684591,-0.051868,4.824377,5.825186,5.522567,0.002763,0.004154
5,2.358004,2.283450,0.074554,0.329301,0.329334,0.024774,0.001000,27,0.274011,0.000040,0.230243,0.725989,-0.048162,4.915847,5.855459,5.465131,0.002714,0.005709
6,2.296457,2.236250,0.060207,0.331301,0.391422,0.065231,0.001000,26,0.259472,0.000095,0.183390,0.740528,-0.046975,4.932429,5.851940,5.292468,0.002915,0.009309
7,2.238253,2.187352,0.050901,0.384985,0.392621,0.065256,0.001000,30,0.273468,0.000255,0.151431,0.726532,-0.047349,4.830709,5.818823,5.012195,0.003364,0.015625
8,2.157077,2.110264,0.046813,0.392682,0.392621,0.064671,0.001000,30,0.328998,0.000617,0.134089,0.671002,-0.044685,4.556791,5.773483,4.696044,0.003992,0.024513
9,2.109925,2.063384,0.046541,0.394582,0.431614,0.102017,0.001000,29,0.424337,0.001029,0.126813,0.575663,-0.043986,4.201755,5.659382,4.535271,0.004777,0.031713
10,2.069712,2.022761,0.046951,0.414276,0.424715,0.094542,0.001000,30,0.515219,0.001324,0.122111,0.484781,-0.055374,3.935342,5.467075,4.528194,0.005774,0.035926
