epoch,train_total_loss,train_ce_loss,train_aux_loss,train_acc,val_acc,val_macro_f1,lr,patience_left,common_loss,orth_loss,recon_loss,common_sim,private_sim,c_norm,pt_norm,pv_norm,cp_overlap_t,cp_overlap_v
1,3.201573,3.084186,0.117388,0.034690,0.329334,0.024774,0.001000,30,0.754018,0.000064,0.341022,0.245982,0.151426,3.157735,4.427861,4.717122,0.005109,0.006119
2,2.571519,2.459940,0.111578,0.329301,0.329334,0.024774,0.001000,30,0.494267,0.000036,0.338975,0.505733,-0.004376,4.136179,5.379875,5.257187,0.003931,0.004510
3,2.468743,2.364361,0.104382,0.328901,0.329334,0.024774,0.001000,29,0.379654,0.000024,0.322629,0.620346,-0.053536,4.629602,5.738278,5.462298,0.003121,0.003829
4,2.397708,2.306904,0.090805,0.329501,0.329334,0.024774,0.001000,28,0.315260,0.000025,0.281664,0.684740,-0.051859,4.825372,5.825316,5.522602,0.002761,0.004153
5,2.358131,2.283590,0.074542,0.329301,0.329334,0.024774,0.001000,27,0.273773,0.000040,0.230219,0.726227,-0.048176,4.918107,5.854079,5.467159,0.002711,0.005710
6,2.296918,2.236737,0.060181,0.331201,0.391422,0.065194,0.001000,26,0.258771,0.000095,0.183350,0.741229,-0.047262,4.938368,5.844640,5.299109,0.002910,0.009310
7,2.239239,2.188392,0.050847,0.384685,0.392621,0.065056,0.001000,30,0.271745,0.000256,0.151365,0.728255,-0.047780,4.843451,5.799462,5.028048,0.003356,0.015630
8,2.158501,2.111808,0.046693,0.392682,0.391722,0.063586,0.001000,30,0.325328,0.000619,0.133936,0.674672,-0.045037,4.578560,5.733364,4.724100,0.003983,0.024558
9,2.110663,2.064358,0.046305,0.394182,0.429214,0.101319,0.001000,29,0.418138,0.001040,0.126440,0.581862,-0.043598,4.231009,5.592689,4.572993,0.004767,0.031901
10,2.069910,2.023243,0.046667,0.414076,0.425315,0.095298,0.001000,30,0.507634,0.001343,0.121669,0.492366,-0.053686,3.967441,5.374120,4.570010,0.005768,0.036194
11,2.032641,1.988223,0.044418,0.417775,0.436113,0.106978,0.001000,29,0.520538,0.001551,0.113306,0.479462,-0.058630,3.954088,5.276473,4.657394,0.006735,0.038799
12,1.986294,1.943478,0.042816,0.427272,0.443911,0.106999,0.001000,30,0.552966,0.001845,0.105792,0.447034,-0.069445,3.867220,5.095156,4.631250,0.007862,0.042225
13,1.946447,1.905197,0.041250,0.436869,0.447810,0.116980,0.001000,30,0.531894,0.001961,0.101976,0.468106,-0.075531,3.929062,4.968232,4.720679,0.008921,0.043372
14,1.914744,1.875020,0.039725,0.441268,0.456209,0.121430,0.001000,30,0.523620,0.002149,0.097437,0.476380,-0.073419,3.960719,4.785278,4.746001,0.010158,0.045234
15,1.876658,1.838489,0.038168,0.451065,0.452909,0.128556,0.001000,30,0.516363,0.002168,0.092732,0.483637,-0.081723,3.984910,4.685465,4.742911,0.011660,0.045073
16,1.840307,1.803382,0.036925,0.454164,0.458008,0.125836,0.001000,29,0.526119,0.002288,0.087933,0.473882,-0.088919,3.953443,4.623241,4.693608,0.013422,0.045906
17,1.812997,1.777588,0.035409,0.457763,0.459508,0.145183,0.001000,30,0.500805,0.002233,0.084568,0.499194,-0.070188,4.041204,4.649015,4.686479,0.014945,0.044828
18,1.783351,1.748596,0.034755,0.458962,0.454409,0.121722,0.001000,30,0.511503,0.002373,0.081671,0.488497,-0.053019,3.985911,4.622888,4.614251,0.016638,0.045780
19,1.788725,1.755326,0.033399,0.456063,0.461308,0.157382,0.001000,29,0.457342,0.002096,0.080772,0.542658,-0.035862,4.151273,4.734687,4.680290,0.017933,0.042124
20,1.745798,1.713341,0.032458,0.469559,0.479604,0.173392,0.001000,30,0.472886,0.002399,0.076587,0.527114,-0.033232,4.087121,4.726502,4.601539,0.018728,0.045255
21,1.696254,1.664929,0.031325,0.483355,0.467606,0.145491,0.001000,30,0.460073,0.002329,0.073668,0.539927,-0.031226,4.103769,4.748124,4.611691,0.019362,0.044204
22,1.700766,1.671081,0.029685,0.472258,0.481404,0.162987,0.001000,29,0.419402,0.002115,0.070919,0.580598,-0.027761,4.225503,4.772202,4.654550,0.019263,0.041765
23,1.658624,1.629628,0.028995,0.482255,0.485603,0.214310,0.001000,30,0.424183,0.002186,0.068300,0.575817,-0.036256,4.200820,4.753477,4.623499,0.018751,0.042833
24,1.651846,1.622906,0.028940,0.486054,0.486503,0.186627,0.001000,30,0.441669,0.002243,0.066946,0.558331,-0.046244,4.133439,4.771379,4.596822,0.018304,0.043680
25,1.607258,1.579266,0.027992,0.493252,0.482004,0.193876,0.001000,30,0.418522,0.002096,0.065336,0.581478,-0.039163,4.207366,4.846587,4.611390,0.018113,0.042042
26,1.594947,1.567484,0.027463,0.493552,0.499700,0.254273,0.001000,29,0.407928,0.001969,0.064282,0.592072,-0.033766,4.235442,4.859035,4.639148,0.018125,0.040508
27,1.571640,1.544342,0.027298,0.505148,0.502400,0.257454,0.001000,30,0.424233,0.002028,0.062643,0.575767,-0.032964,4.165270,4.803627,4.609631,0.018189,0.041201
28,1.550872,1.524020,0.026852,0.507248,0.501500,0.249590,0.001000,30,0.420833,0.002017,0.061385,0.579167,-0.036003,4.180302,4.843545,4.600324,0.017901,0.041192
29,1.528828,1.502531,0.026297,0.511846,0.506599,0.280276,0.001000,29,0.405190,0.001848,0.060583,0.594810,-0.035946,4.232831,4.894278,4.617676,0.017685,0.039184
30,1.510902,1.485250,0.025652,0.519644,0.511398,0.293828,0.001000,30,0.405919,0.001744,0.058387,0.594081,-0.026801,4.199261,4.831793,4.601159,0.017757,0.037801
31,1.492562,1.467136,0.025426,0.524643,0.513497,0.263243,0.001000,30,0.405793,0.001729,0.057643,0.594207,-0.019600,4.181006,4.781194,4.587344,0.017749,0.037607
32,1.471737,1.446856,0.024881,0.526142,0.520396,0.282752,0.001000,30,0.392805,0.001677,0.056694,0.607195,-0.022456,4.254590,4.837924,4.611333,0.017494,0.037021
33,1.457146,1.432620,0.024526,0.532540,0.523095,0.316209,0.001000,30,0.389487,0.001593,0.055735,0.610513,-0.024806,4.262178,4.853083,4.593232,0.017561,0.035835
34,1.428172,1.403830,0.024342,0.539438,0.518896,0.311819,0.001000,30,0.388891,0.001519,0.055164,0.611109,-0.020034,4.237023,4.799219,4.572328,0.017527,0.034812
35,1.422129,1.398211,0.023918,0.538738,0.526995,0.311680,0.001000,29,0.375639,0.001442,0.054636,0.624361,-0.018035,4.291239,4.792514,4.600759,0.017184,0.033861
36,1.394777,1.371272,0.023505,0.547236,0.522496,0.312870,0.001000,30,0.373311,0.001414,0.053415,0.626689,-0.031896,4.301462,4.836946,4.596509,0.016981,0.033550
37,1.383391,1.360074,0.023317,0.551834,0.525795,0.321398,0.001000,29,0.374741,0.001381,0.052695,0.625259,-0.033468,4.293352,4.841835,4.577258,0.016808,0.033147
38,1.361839,1.339027,0.022812,0.558732,0.524295,0.338216,0.001000,28,0.357799,0.001316,0.052143,0.642201,-0.025750,4.352223,4.813266,4.618995,0.016610,0.032247
39,1.350342,1.327626,0.022717,0.560332,0.526695,0.340759,0.001000,27,0.357840,0.001300,0.051823,0.642160,-0.026433,4.352778,4.788805,4.616935,0.016351,0.032141
40,1.326289,1.303658,0.022631,0.570129,0.531494,0.335618,0.001000,26,0.355869,0.001252,0.051670,0.644131,-0.031720,4.369997,4.793695,4.596745,0.016361,0.031380
41,1.315522,1.293109,0.022413,0.570529,0.529994,0.349436,0.001000,30,0.345967,0.001224,0.051605,0.654033,-0.035075,4.419161,4.790358,4.612647,0.016122,0.031050
42,1.299476,1.277200,0.022276,0.573328,0.526995,0.349227,0.001000,29,0.345789,0.001217,0.051159,0.654211,-0.029758,4.416680,4.750040,4.616164,0.016225,0.030875
43,1.283205,1.260998,0.022207,0.580226,0.529694,0.362402,0.001000,28,0.342952,0.001150,0.051122,0.657048,-0.019464,4.429449,4.715820,4.595319,0.016336,0.029711
44,1.260761,1.238599,0.022162,0.589823,0.535393,0.348766,0.001000,27,0.340040,0.001150,0.051166,0.659960,-0.030598,4.456377,4.744596,4.599741,0.016267,0.029754
45,1.258901,1.236866,0.022035,0.585924,0.522795,0.375365,0.001000,30,0.335447,0.001123,0.051051,0.664553,-0.028187,4.492102,4.751604,4.593462,0.016217,0.029324
46,1.249084,1.226917,0.022167,0.593122,0.536593,0.346844,0.001000,29,0.336489,0.001085,0.051420,0.663511,-0.019909,4.479449,4.722964,4.591372,0.016215,0.028666
47,1.245048,1.223017,0.022031,0.590323,0.519496,0.384361,0.001000,30,0.328378,0.001064,0.051509,0.671622,-0.010607,4.544315,4.755534,4.594713,0.016173,0.028320
48,1.256228,1.233667,0.022562,0.587124,0.531194,0.336563,0.001000,29,0.343390,0.001167,0.052275,0.656610,-0.033523,4.500754,4.806089,4.618103,0.016181,0.030092
49,1.217810,1.195509,0.022301,0.591223,0.520396,0.388829,0.001000,28,0.325076,0.001045,0.052630,0.674924,-0.018823,4.605017,4.796872,4.606307,0.016419,0.027853
50,1.228270,1.205439,0.022830,0.597221,0.529094,0.361723,0.001000,27,0.340846,0.001100,0.053341,0.659154,-0.000551,4.557299,4.745196,4.572089,0.017205,0.028351
51,1.187134,1.164024,0.023110,0.613616,0.535093,0.364021,0.001000,26,0.339100,0.001164,0.054387,0.660900,-0.032304,4.587165,4.861700,4.651336,0.017098,0.029521
52,1.185882,1.162418,0.023465,0.613116,0.532693,0.381007,0.001000,25,0.338067,0.001178,0.055639,0.661933,-0.022805,4.630110,4.852075,4.644342,0.017564,0.029489
53,1.141781,1.118083,0.023698,0.628012,0.532693,0.418159,0.001000,24,0.343940,0.001174,0.056026,0.656060,-0.014284,4.612638,4.874389,4.615441,0.018616,0.028765
54,1.152524,1.128392,0.024131,0.629711,0.538992,0.401709,0.001000,23,0.344247,0.001137,0.057450,0.655753,-0.010926,4.605284,4.872431,4.598721,0.018771,0.028008
55,1.112722,1.088341,0.024381,0.640908,0.540792,0.394156,0.001000,30,0.342658,0.001137,0.058387,0.657342,-0.017330,4.640817,4.904009,4.608250,0.018420,0.028239
56,1.114555,1.089545,0.025010,0.635109,0.536293,0.399253,0.001000,30,0.353447,0.001184,0.059764,0.646553,-0.027912,4.614501,5.005190,4.625927,0.018275,0.029157
57,1.090538,1.065182,0.025356,0.640908,0.533293,0.412167,0.001000,29,0.351071,0.001165,0.061075,0.648929,-0.023372,4.620369,5.026174,4.624910,0.018427,0.028736
58,1.067618,1.041968,0.025651,0.659102,0.536293,0.425807,0.001000,28,0.346137,0.001095,0.062390,0.653863,-0.004181,4.642868,4.964711,4.584891,0.018666,0.027330
