epoch,train_total_loss,train_ce_loss,train_aux_loss,train_acc,val_acc,val_macro_f1,lr,patience_left,common_loss,orth_loss,recon_loss,common_sim,private_sim,c_norm,pt_norm,pv_norm,cp_overlap_t,cp_overlap_v
1,3.132750,3.015363,0.117388,0.058682,0.329334,0.024774,0.001000,30,0.754018,0.000064,0.341022,0.245982,0.151426,3.157735,4.427861,4.717122,0.005109,0.006119
2,2.591675,2.478382,0.113293,0.329301,0.329334,0.024774,0.001000,30,0.469020,0.000032,0.346374,0.530980,-0.011484,4.184686,4.954979,5.164584,0.003620,0.004322
3,2.510590,2.401788,0.108802,0.315005,0.329334,0.024774,0.001000,29,0.343545,0.000020,0.339769,0.656455,-0.055770,4.668892,5.271584,5.331548,0.002829,0.003497
4,2.427026,2.332528,0.094498,0.327702,0.329334,0.024774,0.001000,28,0.278192,0.000018,0.296447,0.721808,-0.061804,4.896119,5.443227,5.408601,0.002513,0.003467
5,2.374149,2.297518,0.076631,0.329401,0.329334,0.024774,0.001000,27,0.236668,0.000024,0.239657,0.763332,-0.062566,5.056836,5.570055,5.387152,0.002440,0.004235
6,2.337455,2.277534,0.059921,0.329301,0.329934,0.025502,0.001000,26,0.210548,0.000044,0.185697,0.789452,-0.063502,5.190761,5.660553,5.251572,0.002507,0.006111
7,2.291050,2.243155,0.047894,0.336399,0.392022,0.064930,0.001000,30,0.197372,0.000097,0.146487,0.802628,-0.069149,5.294728,5.721151,5.006897,0.002742,0.009471
8,2.227127,2.185053,0.042074,0.388983,0.391122,0.063362,0.001000,30,0.199267,0.000226,0.126953,0.800733,-0.084799,5.330517,5.748900,4.687125,0.003086,0.014729
9,2.180734,2.140055,0.040680,0.392882,0.395021,0.067904,0.001000,29,0.222429,0.000490,0.120754,0.777571,-0.106674,5.255662,5.727125,4.484196,0.003541,0.021858
10,2.134596,2.093795,0.040801,0.396881,0.399220,0.071732,0.001000,30,0.276253,0.000885,0.117556,0.723747,-0.116530,5.051639,5.645487,4.559424,0.004151,0.029459
11,2.094032,2.053461,0.040571,0.397481,0.416317,0.082523,0.001000,30,0.343214,0.001248,0.112315,0.656786,-0.105587,4.784042,5.502033,4.569623,0.004971,0.034981
12,2.059979,2.019644,0.040335,0.410477,0.424115,0.087264,0.001000,30,0.397950,0.001412,0.107874,0.602050,-0.083196,4.530132,5.301991,4.475052,0.005976,0.037099
13,2.019938,1.979957,0.039981,0.418574,0.431614,0.102264,0.001000,30,0.429771,0.001568,0.104567,0.570229,-0.063091,4.393816,5.096655,4.545653,0.007119,0.038953
14,1.977191,1.938043,0.039149,0.426172,0.442711,0.111661,0.001000,30,0.427447,0.001659,0.101943,0.572553,-0.049128,4.339299,4.871779,4.532718,0.008663,0.039799
15,1.942263,1.905029,0.037234,0.441368,0.446311,0.117012,0.001000,30,0.405851,0.001672,0.097002,0.594149,-0.033478,4.395173,4.807646,4.561558,0.010152,0.039609
16,1.904043,1.868461,0.035581,0.437369,0.451710,0.114778,0.001000,30,0.388274,0.001749,0.092662,0.611726,-0.028543,4.454421,4.762176,4.563403,0.011662,0.040167
17,1.870798,1.836205,0.034594,0.444867,0.451110,0.129437,0.001000,30,0.375729,0.001736,0.090206,0.624271,-0.023004,4.515575,4.816939,4.590914,0.013477,0.039429
18,1.843250,1.810030,0.033220,0.447266,0.448410,0.115217,0.001000,29,0.370747,0.001793,0.085958,0.629253,-0.032489,4.523638,4.777276,4.560349,0.015508,0.039400
19,1.821824,1.789125,0.032699,0.449365,0.461908,0.138903,0.001000,28,0.371946,0.001753,0.084142,0.628054,-0.031973,4.523538,4.883340,4.618148,0.017844,0.037872
20,1.788034,1.756845,0.031189,0.459362,0.464307,0.133103,0.001000,30,0.373090,0.001896,0.079028,0.626910,-0.035506,4.493239,4.855393,4.588892,0.018830,0.039265
21,1.752867,1.722470,0.030397,0.468659,0.467606,0.141422,0.001000,30,0.382508,0.001919,0.075759,0.617492,-0.029685,4.457726,4.925077,4.626568,0.019313,0.039319
22,1.727349,1.697685,0.029663,0.470259,0.468806,0.173184,0.001000,30,0.394511,0.001902,0.072514,0.605489,-0.029257,4.396327,4.956886,4.648674,0.019537,0.038988
23,1.710093,1.680924,0.029169,0.469459,0.474505,0.150553,0.001000,30,0.399123,0.001904,0.070559,0.600877,-0.033800,4.348894,4.952137,4.625786,0.019201,0.039185
24,1.672969,1.644640,0.028329,0.480556,0.487403,0.178185,0.001000,30,0.399368,0.001828,0.067744,0.600632,-0.026247,4.346641,5.015927,4.667332,0.018223,0.038674
25,1.644389,1.616592,0.027797,0.482755,0.487702,0.236265,0.001000,30,0.397309,0.001719,0.066111,0.602691,-0.026098,4.324076,5.032728,4.672242,0.017653,0.037521
26,1.628553,1.601157,0.027396,0.491752,0.484703,0.197479,0.001000,30,0.392898,0.001632,0.065072,0.607102,-0.025697,4.312339,5.028061,4.654236,0.017353,0.036487
27,1.616335,1.589401,0.026934,0.490353,0.499700,0.234857,0.001000,29,0.386449,0.001531,0.063967,0.613551,-0.015688,4.348674,5.078999,4.677563,0.017056,0.035208
28,1.573475,1.547232,0.026243,0.498650,0.505099,0.266795,0.001000,30,0.378809,0.001497,0.062173,0.621191,-0.021308,4.369756,5.076902,4.662410,0.016765,0.034865
29,1.563340,1.537959,0.025382,0.504649,0.495801,0.233434,0.001000,30,0.368084,0.001413,0.060019,0.631916,-0.030211,4.384121,5.081288,4.667222,0.016857,0.033596
30,1.547840,1.523013,0.024827,0.502649,0.516497,0.272026,0.001000,29,0.359284,0.001322,0.058761,0.640716,-0.018800,4.410873,5.098745,4.675568,0.016671,0.032319
31,1.516577,1.492201,0.024376,0.520744,0.520396,0.284355,0.001000,30,0.353278,0.001336,0.057657,0.646722,-0.011713,4.438202,5.098107,4.655861,0.016738,0.032492
32,1.497366,1.473672,0.023694,0.520744,0.512598,0.275105,0.001000,30,0.347131,0.001315,0.055794,0.652869,-0.020440,4.446420,5.111030,4.664931,0.017041,0.032003
33,1.485866,1.462616,0.023250,0.519644,0.518296,0.298099,0.001000,29,0.342624,0.001256,0.054617,0.657376,-0.021805,4.450426,5.135978,4.688798,0.017066,0.031058
34,1.450588,1.427660,0.022928,0.529841,0.526995,0.306065,0.001000,28,0.338632,0.001285,0.053809,0.661368,-0.022019,4.470246,5.142559,4.676619,0.016887,0.031623
35,1.445677,1.423206,0.022470,0.528242,0.521896,0.298616,0.001000,30,0.329267,0.001267,0.052908,0.670733,-0.022235,4.501257,5.170936,4.680069,0.016693,0.031436
36,1.426592,1.404379,0.022212,0.535739,0.519796,0.317621,0.001000,29,0.325105,0.001205,0.052328,0.674895,-0.016239,4.502297,5.186328,4.673847,0.016441,0.030569
37,1.400888,1.378844,0.022044,0.548835,0.531194,0.315045,0.001000,28,0.321616,0.001204,0.051997,0.678384,-0.022460,4.512708,5.193984,4.660386,0.016479,0.030539
38,1.387528,1.365944,0.021584,0.550935,0.522795,0.311228,0.001000,30,0.309368,0.001155,0.051283,0.690632,-0.027169,4.563719,5.221400,4.683483,0.016231,0.029853
39,1.370320,1.348887,0.021433,0.555333,0.532693,0.339577,0.001000,29,0.306785,0.001133,0.050953,0.693215,-0.014981,4.577564,5.209936,4.649681,0.015715,0.029768
40,1.347421,1.326224,0.021197,0.559132,0.531194,0.341243,0.001000,30,0.301016,0.001099,0.050552,0.698984,-0.020297,4.592170,5.217919,4.635026,0.015868,0.029100
41,1.341145,1.320203,0.020942,0.561032,0.529994,0.346954,0.001000,29,0.292957,0.001055,0.050240,0.707043,-0.025433,4.627223,5.227103,4.649810,0.015809,0.028367
42,1.325872,1.304958,0.020914,0.567530,0.531194,0.335536,0.001000,28,0.291506,0.001053,0.050243,0.708494,-0.019636,4.646748,5.214029,4.626356,0.015283,0.028622
43,1.317602,1.296908,0.020694,0.564331,0.516197,0.362031,0.001000,27,0.284529,0.000988,0.049979,0.715471,-0.025201,4.676492,5.225516,4.665565,0.015500,0.027352
44,1.310757,1.289974,0.020783,0.572928,0.525495,0.323250,0.001000,26,0.287742,0.001022,0.050059,0.712258,-0.020968,4.659784,5.212237,4.620064,0.015257,0.028099
45,1.308292,1.287753,0.020539,0.562431,0.534493,0.375701,0.001000,25,0.277978,0.000941,0.049900,0.722022,-0.016616,4.706111,5.232874,4.671299,0.015199,0.026643
46,1.263574,1.242906,0.020668,0.585924,0.532394,0.368666,0.001000,30,0.283357,0.001007,0.049971,0.716643,-0.022878,4.680866,5.229408,4.644416,0.015538,0.027675
47,1.248403,1.227645,0.020758,0.586024,0.531794,0.353459,0.001000,29,0.285605,0.001002,0.050120,0.714395,-0.016478,4.674560,5.243828,4.659520,0.015351,0.027683
48,1.240962,1.220305,0.020658,0.585024,0.538092,0.380656,0.001000,28,0.278550,0.000942,0.050257,0.721450,-0.018060,4.708785,5.261339,4.677816,0.015394,0.026550
49,1.218034,1.197101,0.020933,0.603519,0.538092,0.381792,0.001000,30,0.285739,0.000980,0.050695,0.714261,-0.022313,4.683781,5.254034,4.662416,0.015538,0.027184
50,1.198587,1.177533,0.021054,0.609817,0.534793,0.380817,0.001000,29,0.286078,0.000986,0.051075,0.713922,-0.021362,4.690454,5.264748,4.689033,0.015609,0.027251
51,1.199253,1.178162,0.021091,0.606618,0.535693,0.372236,0.001000,28,0.281549,0.000928,0.051502,0.718451,-0.017423,4.709360,5.258171,4.674484,0.015510,0.026226
52,1.169809,1.148416,0.021392,0.619614,0.535693,0.380172,0.001000,27,0.287835,0.000940,0.052088,0.712165,-0.022716,4.696083,5.258669,4.690924,0.015445,0.026485
53,1.157396,1.135762,0.021634,0.623013,0.535993,0.391763,0.001000,26,0.289561,0.000934,0.052777,0.710439,-0.025385,4.698973,5.264822,4.697759,0.015507,0.026331
54,1.151475,1.129649,0.021826,0.624313,0.538692,0.377613,0.001000,25,0.287991,0.000890,0.053525,0.712009,-0.013168,4.711045,5.251961,4.669240,0.015358,0.025566
55,1.132955,1.110852,0.022102,0.628811,0.537493,0.423021,0.001000,30,0.290066,0.000888,0.054307,0.709934,-0.016534,4.714671,5.261120,4.679756,0.015500,0.025457
56,1.127028,1.104610,0.022418,0.636609,0.535693,0.342162,0.001000,29,0.291042,0.000878,0.055294,0.708958,-0.027029,4.709792,5.249425,4.638472,0.015532,0.025233
57,1.131254,1.108538,0.022716,0.624313,0.533293,0.422261,0.001000,28,0.287280,0.000832,0.056540,0.712720,-0.007378,4.742913,5.266355,4.677571,0.014649,0.024849
58,1.093515,1.070407,0.023108,0.646306,0.533593,0.401667,0.001000,27,0.292178,0.000829,0.057520,0.707822,-0.029526,4.716646,5.265510,4.621905,0.015215,0.024450
59,1.082723,1.058985,0.023738,0.647906,0.539592,0.367786,0.001000,26,0.300870,0.000832,0.059041,0.699130,-0.021672,4.678404,5.271284,4.615419,0.014603,0.024878
