epoch,train_total_loss,train_ce_loss,train_aux_loss,train_acc,val_acc,val_macro_f1,lr,patience_left,common_loss,orth_loss,recon_loss,common_sim,private_sim,c_norm,pt_norm,pv_norm,cp_overlap_t,cp_overlap_v
1,2.999865,2.878036,0.121829,0.169549,0.329334,0.024774,0.001000,30,0.815620,0.000068,0.351721,0.184380,-0.048680,3.319829,4.431358,4.255852,0.005333,0.006311
2,2.549778,2.435838,0.113940,0.329301,0.329334,0.024774,0.001000,30,0.624412,0.000043,0.338173,0.375588,-0.054324,3.804456,5.198771,4.954191,0.004003,0.005202
3,2.488118,2.381192,0.106926,0.311607,0.329334,0.024774,0.001000,29,0.519755,0.000033,0.321768,0.480245,-0.025728,4.186887,5.565457,5.022843,0.003110,0.004819
4,2.375011,2.282445,0.092566,0.330301,0.329334,0.024774,0.001000,28,0.460595,0.000046,0.277846,0.539405,-0.017393,4.362066,5.662279,4.996239,0.002719,0.006197
5,2.328473,2.252001,0.076472,0.330901,0.362927,0.052980,0.001000,27,0.409746,0.000103,0.227586,0.590254,-0.018058,4.493498,5.735487,4.962703,0.002655,0.009804
6,2.265033,2.202295,0.062738,0.356893,0.394721,0.066061,0.001000,30,0.377492,0.000292,0.183950,0.622508,-0.017838,4.595100,5.797300,4.922046,0.002835,0.016841
7,2.195807,2.142065,0.053741,0.392082,0.391122,0.063911,0.001000,30,0.373614,0.000753,0.154205,0.626386,-0.010326,4.647889,5.822724,4.933893,0.003331,0.027246
8,2.154150,2.104806,0.049344,0.393082,0.389922,0.064533,0.001000,29,0.397696,0.001482,0.137917,0.602304,0.004448,4.618990,5.785577,5.005492,0.004112,0.038273
9,2.125938,2.079328,0.046610,0.393282,0.393221,0.065888,0.001000,28,0.426140,0.002163,0.126885,0.573860,0.015394,4.540354,5.673125,5.057796,0.005157,0.046226
10,2.084220,2.039837,0.044382,0.393682,0.403119,0.076795,0.001000,27,0.440106,0.002458,0.118519,0.559894,0.020746,4.504472,5.488131,5.145263,0.006579,0.049135
11,2.040997,1.998621,0.042376,0.404279,0.421716,0.092260,0.001000,30,0.438778,0.002379,0.111924,0.561222,0.022128,4.507095,5.262115,5.170446,0.008268,0.048071
12,1.993153,1.952241,0.040911,0.424473,0.422316,0.105564,0.001000,30,0.445598,0.002365,0.106586,0.554402,0.018679,4.459055,5.021529,5.048932,0.010414,0.047500
13,1.962402,1.922168,0.040235,0.428072,0.437612,0.106769,0.001000,30,0.456664,0.002263,0.103595,0.543336,0.006713,4.382588,4.849956,4.979217,0.013002,0.045754
14,1.937621,1.899077,0.038544,0.432870,0.434613,0.122146,0.001000,30,0.443037,0.002085,0.098875,0.556963,-0.003449,4.404771,4.830060,5.022832,0.015511,0.042947
15,1.897785,1.860847,0.036938,0.439068,0.447511,0.126529,0.001000,29,0.441689,0.002328,0.093603,0.558311,-0.013672,4.399193,4.773334,4.929606,0.018136,0.044706
16,1.851673,1.815880,0.035793,0.451964,0.452909,0.129360,0.001000,30,0.448352,0.002441,0.089339,0.551648,-0.028166,4.348696,4.820278,4.926009,0.020897,0.044765
17,1.829254,1.794742,0.034512,0.456663,0.457708,0.142006,0.001000,30,0.448321,0.002376,0.085073,0.551679,-0.045906,4.317119,4.842768,4.985072,0.022230,0.043379
18,1.805970,1.772851,0.033118,0.457363,0.455909,0.124265,0.001000,30,0.450140,0.002449,0.080304,0.549860,-0.053866,4.315254,4.830377,4.980729,0.022803,0.043920
19,1.771322,1.738576,0.032745,0.464461,0.465507,0.141397,0.001000,29,0.436683,0.002412,0.079958,0.563317,-0.050570,4.338761,4.966120,4.991599,0.023248,0.043266
20,1.740511,1.709129,0.031382,0.472858,0.471506,0.174266,0.001000,30,0.437277,0.002473,0.075372,0.562723,-0.047255,4.335413,4.986930,4.968647,0.023893,0.043609
21,1.719431,1.689343,0.030088,0.472958,0.476305,0.179228,0.001000,30,0.439838,0.002375,0.070891,0.560162,-0.058653,4.318256,4.959007,5.010162,0.024761,0.041973
22,1.699260,1.670076,0.029184,0.476157,0.467307,0.184257,0.001000,30,0.429961,0.002271,0.068542,0.570039,-0.053121,4.305201,4.993979,5.036097,0.025237,0.040424
23,1.668826,1.640447,0.028378,0.479156,0.478104,0.186985,0.001000,29,0.422982,0.002316,0.066319,0.577018,-0.041116,4.320193,5.050799,4.979179,0.025363,0.040895
24,1.640324,1.612946,0.027377,0.486654,0.488302,0.200662,0.001000,30,0.407613,0.002167,0.064011,0.592387,-0.044993,4.366430,5.138746,5.017149,0.025042,0.039247
25,1.618923,1.592204,0.026719,0.491253,0.488902,0.242457,0.001000,30,0.404313,0.002083,0.062041,0.595687,-0.046174,4.345696,5.196324,5.030648,0.024742,0.038353
26,1.597345,1.571080,0.026265,0.502349,0.500300,0.248457,0.001000,30,0.409512,0.002075,0.060180,0.590488,-0.041892,4.301403,5.214834,4.971198,0.024586,0.038341
27,1.574197,1.548858,0.025340,0.505048,0.498200,0.257733,0.001000,30,0.398822,0.001941,0.057813,0.601178,-0.037604,4.322380,5.236909,4.979747,0.024357,0.036713
28,1.551722,1.526868,0.024853,0.513046,0.504799,0.262914,0.001000,29,0.397871,0.001939,0.056255,0.602129,-0.030006,4.332299,5.258247,4.937749,0.023877,0.036992
29,1.530002,1.505583,0.024419,0.519144,0.508398,0.276759,0.001000,30,0.397961,0.001882,0.054803,0.602039,-0.029129,4.321133,5.273672,4.931231,0.023355,0.036553
30,1.511015,1.487284,0.023731,0.521344,0.499700,0.280087,0.001000,30,0.387284,0.001745,0.053227,0.612716,-0.036610,4.333241,5.258319,4.930608,0.022927,0.034925
31,1.489377,1.466238,0.023139,0.526942,0.508998,0.265814,0.001000,29,0.380826,0.001689,0.051685,0.619174,-0.032322,4.356768,5.248128,4.892909,0.022350,0.034490
32,1.475380,1.452801,0.022579,0.522943,0.509898,0.294560,0.001000,30,0.368752,0.001609,0.050626,0.631248,-0.019934,4.397748,5.251828,4.937513,0.021563,0.033828
