epoch,train_total_loss,train_ce_loss,train_aux_loss,train_acc,val_acc,val_macro_f1,lr,patience_left,common_loss,orth_loss,recon_loss,common_sim,private_sim,c_norm,pt_norm,pv_norm,cp_overlap_t,cp_overlap_v
1,2.999865,2.878036,0.121829,0.169549,0.329334,0.024774,0.001000,30,0.815620,0.000068,0.351721,0.184380,-0.048680,3.319829,4.431358,4.255852,0.005333,0.006311
2,2.549045,2.435105,0.113940,0.329301,0.329334,0.024774,0.001000,30,0.624412,0.000043,0.338173,0.375588,-0.054324,3.804456,5.198771,4.954191,0.004003,0.005202
3,2.488115,2.381140,0.106975,0.311007,0.329334,0.024774,0.001000,29,0.521042,0.000033,0.321846,0.478958,-0.026525,4.181296,5.566109,5.024701,0.003111,0.004819
4,2.374995,2.282391,0.092604,0.330201,0.329334,0.024774,0.001000,28,0.460559,0.000046,0.277976,0.539441,-0.018801,4.361020,5.655410,4.995398,0.002720,0.006197
5,2.329420,2.252929,0.076491,0.330701,0.360228,0.051468,0.001000,27,0.407958,0.000103,0.227769,0.592042,-0.020257,4.498644,5.715046,4.963878,0.002657,0.009797
6,2.267004,2.204309,0.062695,0.354894,0.394121,0.065898,0.001000,30,0.374286,0.000291,0.184022,0.625714,-0.020768,4.604720,5.751803,4.932063,0.002843,0.016823
7,2.197896,2.144322,0.053575,0.391682,0.391422,0.064044,0.001000,30,0.368899,0.000756,0.153964,0.631101,-0.013974,4.661627,5.735657,4.954768,0.003354,0.027287
8,2.154522,2.105480,0.049042,0.392482,0.390222,0.064960,0.001000,29,0.391427,0.001507,0.137328,0.608573,0.000385,4.638895,5.644457,5.032885,0.004165,0.038591
9,2.126251,2.079956,0.046295,0.392982,0.392921,0.065718,0.001000,28,0.418873,0.002225,0.126318,0.581127,0.011981,4.566646,5.483670,5.091439,0.005248,0.046875
10,2.083695,2.039539,0.044156,0.394582,0.402519,0.076208,0.001000,27,0.432768,0.002546,0.118252,0.567232,0.018337,4.532721,5.266700,5.183618,0.006696,0.050009
11,2.039984,1.997686,0.042298,0.404279,0.420216,0.092207,0.001000,30,0.431645,0.002460,0.112135,0.568355,0.018999,4.537635,5.028928,5.220785,0.008362,0.048883
12,1.992575,1.951620,0.040956,0.423673,0.425315,0.105338,0.001000,30,0.438898,0.002426,0.107179,0.561102,0.012586,4.493771,4.805432,5.106252,0.010434,0.048136
13,1.960913,1.920782,0.040131,0.428571,0.437612,0.106534,0.001000,30,0.450695,0.002307,0.103646,0.549305,-0.001546,4.428136,4.683097,5.033067,0.012844,0.046282
14,1.932337,1.893828,0.038509,0.435669,0.429514,0.122255,0.001000,30,0.438467,0.002143,0.099061,0.561533,-0.014102,4.454551,4.673236,5.057801,0.015243,0.043706
15,1.899547,1.862691,0.036856,0.438069,0.447511,0.124570,0.001000,29,0.436426,0.002348,0.093680,0.563574,-0.025212,4.445818,4.631230,4.964018,0.017742,0.045088
16,1.851645,1.815836,0.035810,0.452164,0.451710,0.130016,0.001000,30,0.440327,0.002397,0.089931,0.559673,-0.040171,4.404416,4.682039,4.972739,0.020320,0.044546
17,1.827279,1.792889,0.034389,0.457263,0.457708,0.141111,0.001000,30,0.443199,0.002412,0.085005,0.556801,-0.053577,4.368391,4.696309,4.995840,0.021513,0.044151
18,1.801821,1.768888,0.032933,0.459962,0.457409,0.126088,0.001000,30,0.440391,0.002463,0.080336,0.559609,-0.060133,4.373368,4.703322,5.004631,0.022023,0.044479
19,1.770955,1.738669,0.032285,0.464461,0.465207,0.141741,0.001000,29,0.424679,0.002397,0.079226,0.575321,-0.059644,4.403913,4.794977,5.033037,0.022332,0.043570
20,1.738005,1.707041,0.030965,0.473558,0.470306,0.174431,0.001000,30,0.429766,0.002509,0.074481,0.570234,-0.055108,4.380415,4.793766,5.000149,0.023050,0.044471
21,1.717213,1.687215,0.029998,0.475057,0.476605,0.176925,0.001000,30,0.431827,0.002369,0.071127,0.568173,-0.066720,4.356268,4.770235,5.064526,0.023879,0.042418
