model,seed,acc,macro_f1,balanced_acc,best_epoch,n_epochs,history_val_acc,acc_ckpt_vs_history_pp
diag_id,42,0.5503899220155969,0.4270394950003931,0.39459385044251793,75,105,0.55039,-7.798440315731625e-06
diag_id,43,0.5488902219556089,0.4329822485056883,0.405943928203095,70,100,0.54889,2.2195560889226584e-05
diag_id,44,0.5572885422915417,0.47810249060862536,0.4730560097099171,99,129,0.557289,-4.577084583567981e-05
diag_id,mean,0.5521895620875825,0.44604141137156894,0.4245312627851767,,,,
diag_id,std,0.0036571368042735133,0.022800053818500563,0.03462363705500782,,,,
static_cross_dup,42,0.55248950209958,0.4447050417841458,0.4246506902552453,70,100,0.55249,-4.979004200045267e-05
static_cross_dup,43,0.5515896820635873,0.4026182210492535,0.38598717566504903,54,84,0.55159,-3.17936412752573e-05
static_cross_dup,44,0.5530893821235753,0.44563246651677774,0.43299730102410827,60,90,0.553089,3.8212357522660056e-05
static_cross_dup,mean,0.5523895220955809,0.43098524311672565,0.4145450556481342,,,,
static_cross_dup,std,0.0006163181366695634,0.020062086712520133,0.020478946256711997,,,,
static_cross,42,0.5455908818236352,0.4403278518483879,0.42830845777421667,71,101,0.545591,-1.181763648050449e-05
static_cross,43,0.5560887822435513,0.4565429052327404,0.44426256679417186,77,107,0.556089,-2.1775644876154132e-05
static_cross,44,0.555488902219556,0.4363698589522486,0.4272054338988781,73,103,0.555489,-9.778044396391294e-06
static_cross,mean,0.5523895220955808,0.4444135386777923,0.4332588194890889,,,,
static_cross,std,0.004813598527178859,0.008727641021860454,0.00779384400164568,,,,
conditional_cross_dup,42,0.5512897420515896,0.4343144465786498,0.3911266318194959,84,114,0.55129,-2.5794841029824767e-05
conditional_cross_dup,43,0.5503899220155969,0.409494390305591,0.38090177949103754,68,98,0.55039,-7.798440315731625e-06
conditional_cross_dup,44,0.5509898020395921,0.4493632186299795,0.4402762596108305,78,108,0.55099,-1.9796040784392233e-05
conditional_cross_dup,mean,0.5508898220355928,0.4310573518380734,0.40410155697378797,,,,
conditional_cross_dup,std,0.00037409092049328483,0.016438519146640698,0.025917738255790933,,,,
conditional_cross,42,0.5512897420515896,0.45748732111520135,0.42789518276301874,71,101,0.55129,-2.5794841029824767e-05
conditional_cross,43,0.5494901019796041,0.42551433384621645,0.39459678106466967,78,108,0.54949,1.0197960409463747e-05
conditional_cross,44,0.5542891421715657,0.4293546666951973,0.40716211893618015,64,94,0.554289,1.4217156563134381e-05
conditional_cross,mean,0.5516896620675865,0.4374521072188717,0.40988469425462287,,,,
conditional_cross,std,0.0019795030867049653,0.014253523213612859,0.01372965649460076,,,,
