dataset,train_seed,analysis_seed,receiver_i,neighbor_j,edge_id,label_i,label_j,degree_i,degree_j,edge_norm,receiver_degree_bin,receiver_correct_full,full_confidence,sim_text,sim_visual,L_null,L_text,L_visual,L_joint,Q_text,Q_visual,Q_joint,S_exact,S_norm,Q_text_1,Q_visual_1,Q_joint_1,Q_text_2,Q_visual_2,Q_joint_2,S_second,best_exact,best_first,best_second
Grocery,42,12345,13509,9822,76752,15,12,11,67,0.03683547303080559,3,True,0.9369601607322693,0.5353072881698608,0.9227336645126343,0.06769134104251862,0.07016107439994812,0.0627678632736206,0.06511452049016953,-0.0024697333574295044,0.00492347776889801,0.0025768205523490906,0.00012307614088058472,0.012344595976173878,-0.002404826011728066,0.005250826343001893,0.0028460003312738257,-0.0024684394168522136,0.004903046180594016,0.002561398795313392,0.00012679203157158966,2,2,2
Grocery,42,12345,5111,14960,129764,7,16,23,49,0.02978777326643467,3,True,0.9558858871459961,0.8977773189544678,0.6993449926376343,0.03624473139643669,0.03744586557149887,0.04366828128695488,0.04511673003435135,-0.0012011341750621796,-0.0074235498905181885,-0.008871998637914658,-0.00024731457233428955,-0.014134933240711689,-0.0011473003725526692,-0.006657956519814397,-0.007805256892367066,-0.0012006985585641576,-0.007365120403577029,-0.008779247546074023,-0.00021342858393283686,0,0,0
Grocery,42,12345,12812,2918,13111,14,4,1,7,0.37796449661254883,0,False,0.3799726665019989,0.9557117223739624,0.7863191962242126,2.8944711685180664,2.8516016006469727,2.5913872718811035,2.555432081222534,0.04286956787109375,0.3030838966369629,0.3390390872955322,-0.006914377212524414,-0.010094091296195984,0.059161520555460236,0.4669205435751238,0.5260820641305839,0.04376400320682723,0.21499786494155698,0.23720321925102617,-0.021558648897358035,3,3,3
Grocery,42,12345,135,12776,107612,2,14,27,32,0.034020692110061646,3,False,0.8928384184837341,0.7044311761856079,0.7669275999069214,2.3375191688537598,2.3888001441955566,2.299635648727417,2.3507306575775146,-0.051280975341796875,0.03788352012634277,-0.013211488723754883,0.00018596649169921875,0.001816504867747426,-0.05113066147899627,0.03807617477491647,-0.013054486704079798,-0.051282537447236855,0.037879937203104626,-0.013216415092967233,0.00018618515116499562,2,2,2
Grocery,42,12345,8146,10768,88108,11,13,1,378,0.05143444985151291,0,True,0.8131067156791687,0.883507490158081,0.5740913152694702,0.15831752121448517,0.16867047548294067,0.1938491016626358,0.2068929374217987,-0.010352954268455505,-0.035531580448150635,-0.04857541620731354,-0.0026908814907073975,-0.028487006202340126,-0.009676077475082315,-0.03201119821171198,-0.04168727568679429,-0.010343479155221259,-0.03532489106984233,-0.0480214562600284,-0.002353086034964806,0,0,0
Grocery,42,12345,16158,16919,141112,17,17,3,6,0.2357022762298584,1,True,0.9337432980537415,0.9717754125595093,0.7472229599952698,0.2977231442928314,0.21511110663414001,0.0915609821677208,0.06855370104312897,0.0826120376586914,0.20616215467453003,0.22916944324970245,-0.05960474908351898,-0.1150796115398407,0.10434282059372217,0.3519618474372229,0.456304668030945,0.07977541642984337,0.15557975852739933,0.1188659997880393,-0.1164891751692034,3,3,2
Grocery,42,12345,15031,16771,140138,17,17,10,58,0.04152274131774902,3,False,0.6174985766410828,0.8478096723556519,0.5605705976486206,2.393646717071533,2.3939268589019775,2.291872024536133,2.290834903717041,-0.00028014183044433594,0.10177469253540039,0.10281181335449219,0.0013172626495361328,0.0064298533834517,8.906892129888211e-05,0.10377597737361803,0.10386504629491693,-0.0002771593130264006,0.10175487571434562,0.10282483820615285,0.001347121804833623,3,3,3
Grocery,42,12345,7093,945,3925,9,1,7,5,0.16903084516525269,2,False,0.700141429901123,0.6660977602005005,0.7531032562255859,1.8587443828582764,2.0545496940612793,1.4894646406173706,1.6405534744262695,-0.19580531120300293,0.36927974224090576,0.21819090843200684,0.044716477394104004,0.05708904564380646,-0.1764541663041937,0.4093131910393357,0.232859024735142,-0.19805226353968905,0.37414276411478964,0.21655584612879736,0.04046534555369674,2,2,2
Grocery,42,12345,5515,4307,23348,7,7,3,216,0.03928370773792267,1,True,0.9871008396148682,0.8265994787216187,0.8575667142868042,0.014502003788948059,0.014542185701429844,0.01294859778136015,0.012983076274394989,-4.018191248178482e-05,0.0015534060075879097,0.00151892751455307,5.7034194469451904e-06,0.0018324089469388127,-3.9712816945883285e-05,0.0016539727727348302,0.0016142599557889474,-4.030554916370744e-05,0.001548807174105078,0.0015145754008161275,6.073775874756906e-06,2,2,2
Grocery,42,12345,9133,9442,72651,12,12,1,5,0.4472135901451111,0,True,0.9633675813674927,0.9584006667137146,0.7852186560630798,0.06078437715768814,0.033278584480285645,0.10219623893499374,0.037320349365472794,0.027505792677402496,-0.0414118617773056,0.023464027792215347,0.037370096892118454,0.4045184254646301,0.059720577003329466,-0.005326365422444207,0.05439421158088527,0.004949119781666345,-0.03558071627255101,-0.007735718177996211,0.022895878312888453,1,1,1
