epoch,train_total_loss,train_ce_loss,train_aux_loss,train_acc,val_acc,val_macro_f1,lr,patience_left,common_loss,orth_loss,recon_loss,common_sim,private_sim,c_norm,pt_norm,pv_norm,cp_overlap_t,cp_overlap_v
1,2.998181,2.998181,0.000000,0.034264,0.056223,0.010552,0.001000,30,,,,,,,,,,
2,2.981109,2.981109,0.000000,0.079754,0.141435,0.012391,0.001000,30,,,,,,,,,,
3,2.964484,2.964484,0.000000,0.141449,0.141435,0.012391,0.001000,30,,,,,,,,,,
4,2.947513,2.947513,0.000000,0.141546,0.141435,0.012391,0.001000,29,,,,,,,,,,
5,2.930165,2.930165,0.000000,0.141546,0.141435,0.012391,0.001000,28,,,,,,,,,,
6,2.911307,2.911307,0.000000,0.141546,0.141435,0.012391,0.001000,27,,,,,,,,,,
7,2.890853,2.890853,0.000000,0.141546,0.141435,0.012391,0.001000,26,,,,,,,,,,
8,2.868499,2.868499,0.000000,0.141546,0.141435,0.012391,0.001000,25,,,,,,,,,,
9,2.844995,2.844995,0.000000,0.141546,0.141435,0.012391,0.001000,24,,,,,,,,,,
10,2.820835,2.820835,0.000000,0.141546,0.141435,0.012391,0.001000,23,,,,,,,,,,
11,2.797937,2.797937,0.000000,0.141546,0.141435,0.012391,0.001000,22,,,,,,,,,,
12,2.778719,2.778719,0.000000,0.141546,0.141435,0.012391,0.001000,21,,,,,,,,,,
13,2.767768,2.767768,0.000000,0.141546,0.141435,0.012391,0.001000,20,,,,,,,,,,
14,2.762630,2.762630,0.000000,0.141546,0.141435,0.012391,0.001000,19,,,,,,,,,,
15,2.758774,2.758774,0.000000,0.141546,0.141435,0.012391,0.001000,18,,,,,,,,,,
16,2.752738,2.752738,0.000000,0.141546,0.141435,0.012391,0.001000,17,,,,,,,,,,
17,2.745790,2.745790,0.000000,0.141546,0.141435,0.012391,0.001000,16,,,,,,,,,,
18,2.737592,2.737592,0.000000,0.141546,0.141728,0.012705,0.001000,15,,,,,,,,,,
19,2.730125,2.730125,0.000000,0.144670,0.155783,0.025632,0.001000,30,,,,,,,,,,
20,2.720057,2.720057,0.000000,0.160875,0.158419,0.027627,0.001000,30,,,,,,,,,,
21,2.709059,2.709059,0.000000,0.163608,0.152269,0.022719,0.001000,30,,,,,,,,,,
22,2.698259,2.698259,0.000000,0.155506,0.146413,0.017452,0.001000,29,,,,,,,,,,
23,2.685926,2.685926,0.000000,0.147599,0.142899,0.013939,0.001000,28,,,,,,,,,,
24,2.672513,2.672513,0.000000,0.143987,0.142020,0.013059,0.001000,27,,,,,,,,,,
25,2.658901,2.658901,0.000000,0.143108,0.142313,0.013371,0.001000,26,,,,,,,,,,
26,2.643934,2.643934,0.000000,0.143499,0.142899,0.014032,0.001000,25,,,,,,,,,,
27,2.627150,2.627150,0.000000,0.143694,0.147291,0.018440,0.001000,24,,,,,,,,,,
28,2.609591,2.609591,0.000000,0.148282,0.155490,0.025859,0.001000,23,,,,,,,,,,
29,2.588304,2.588304,0.000000,0.157458,0.173646,0.039858,0.001000,22,,,,,,,,,,
30,2.565385,2.565385,0.000000,0.177275,0.213470,0.064543,0.001000,30,,,,,,,,,,
