estimator,fraction_eligible,n_eligible,n_selected,frac_changed_of_edges,CE,acc,macro_f1
exact,0.0,13807,0,0.0,0.7993977069854736,0.7920936942100525,0.6928944104639883
exact,0.01,13807,139,0.005050138061328295,0.7124428153038025,0.7976574301719666,0.6984272067922268
exact,0.05,13807,691,0.025105362592646417,0.6247943043708801,0.819033682346344,0.7208702018811736
exact,0.1,13807,1381,0.05017439325679407,0.5831418037414551,0.8319180011749268,0.7367701793131058
exact,0.2,13807,2762,0.10034878651358814,0.5470610857009888,0.8433382511138916,0.7569424646513829
exact,0.3,13807,4143,0.1505231797703822,0.5354763269424438,0.8474377989768982,0.7649283464415053
exact,0.5,13807,6904,0.25083563435547157,0.5312721133232117,0.8480234146118164,0.761259462626522
exact,1.0,13807,13807,0.5016349367824444,0.531113862991333,0.8474377989768982,0.7583149468732651
first,0.0,14109,0,0.0,0.7993976473808289,0.7920936942100525,0.6928944104639883
first,0.01,14109,142,0.005159133846824589,0.7150388360023499,0.7967789173126221,0.697124355809761
first,0.05,14109,706,0.02565034152012789,0.6285092830657959,0.8169839382171631,0.7189858596883113
first,0.1,14109,1411,0.05126435111175701,0.5872071385383606,0.8298682570457458,0.7347331333062717
first,0.2,14109,2822,0.10252870222351403,0.5508237481117249,0.8412884473800659,0.7532252080011373
first,0.3,14109,4233,0.15379305333527105,0.539085865020752,0.845095157623291,0.7615461374904766
first,0.5,14109,7055,0.25632175555878506,0.5348249077796936,0.845680832862854,0.7642523057238827
first,1.0,14109,14109,0.5126071791890714,0.534643828868866,0.845095157623291,0.7613549722674738
