receiver_i,label_i,indegree,correct_joint,CE_joint,CE_text_all,CE_visual_all,CE_null_all,CE_exact_os,CE_first_os,CE_second_os,dCE_text_all,dCE_visual_all,dCE_null_all,dCE_exact_os,dCE_first_os,dCE_second_os,G_local_exact,G_local_first,G_global_exact,G_global_first,G_global_second
4398,8,2,True,0.08446939,1.39711344,0.01367616,0.51145685,0.01367616,0.01367616,0.33748865,1.31264400,-0.07079323,0.42698747,-0.07079323,-0.07079323,0.25301927,0.09373015,0.09373015,0.07079323,0.07079323,-0.25301927
8566,12,32,True,0.00646594,0.02011262,0.01874541,0.07345361,0.00542312,0.00542312,0.00542312,0.01364668,0.01227947,0.06698766,-0.00104282,-0.00104282,-0.00104282,0.00151655,0.00151655,0.00104282,0.00104282,0.00104282
15801,17,7,True,0.02542200,2.18887496,0.01010682,0.59095442,0.00952804,0.00952804,0.01399983,2.16345286,-0.01531519,0.56553245,-0.01589396,-0.01589396,-0.01142217,0.03946546,0.03946546,0.01589396,0.01589396,0.01142217
8991,12,2,False,8.00481033,4.98363209,7.08570766,4.45015621,4.45015621,4.45015621,4.45015621,-3.02117825,-0.91910267,-3.55465412,-3.55465412,-3.55465412,-3.55465412,4.24990368,4.24990368,3.55465412,3.55465412,3.55465412
3582,5,7,False,3.44129443,3.02230549,4.23241234,3.69659519,2.83910656,2.83910656,2.83910656,-0.41898894,0.79111791,0.25530076,-0.60218787,-0.60218787,-0.60218787,0.75755453,0.75755453,0.60218787,0.60218787,0.60218787
16694,17,1,True,0.70939124,2.43544507,0.47152650,2.06244612,0.47152650,0.47152650,0.47152650,1.72605383,-0.23786473,1.35305488,-0.23786473,-0.23786473,-0.23786473,0.23786509,0.23786509,0.23786473,0.23786473,0.23786473
65,1,1,True,0.53992581,0.48095012,0.58839941,0.52688497,0.48095012,0.48095012,0.48095012,-0.05897570,0.04847360,-0.01304084,-0.05897570,-0.05897570,-0.05897570,0.05897659,0.05897659,0.05897570,0.05897570,0.05897570
745,1,1,True,0.01441858,0.10051529,0.01688322,0.11430498,0.01441858,0.01441858,0.01688322,0.08609671,0.00246464,0.09988640,0.00000000,0.00000000,0.00246464,0.00000000,0.00000000,0.00000000,0.00000000,-0.00246464
13911,15,15,True,0.39993674,1.23001099,0.26404935,0.87866747,0.14236549,0.14236549,0.14236549,0.83007425,-0.13588738,0.47873074,-0.25757125,-0.25757125,-0.25757125,0.34906915,0.34906915,0.25757125,0.25757125,0.25757125
424,1,1,True,0.00692728,0.02695744,0.01298237,0.03881964,0.00692728,0.00692728,0.02695744,0.02003016,0.00605509,0.03189236,0.00000000,0.00000000,0.02003016,0.00000000,0.00000000,0.00000000,0.00000000,-0.02003016
