dataset,train_seed,analysis_seed,receiver_i,neighbor_j,edge_id,label_i,label_j,degree_i,degree_j,edge_norm,receiver_degree_bin,receiver_correct_full,full_confidence,sim_text,sim_visual,L_null,L_text,L_visual,L_joint,Q_text,Q_visual,Q_joint,S_exact,S_norm,Q_text_1,Q_visual_1,Q_joint_1,Q_text_2,Q_visual_2,Q_joint_2,S_second,best_exact,best_first,best_second
Grocery,42,12345,8288,7585,53470,9,9,9,36,0.0555555559694767,2,True,0.9863336682319641,0.9369888305664062,0.9103508591651917,0.016438761726021767,0.015752404928207397,0.014556518755853176,0.013760583475232124,0.0006863567978143692,0.0018822429701685905,0.0026781782507896423,0.00010957848280668259,0.020884869620203972,0.0007991749129999471,0.0021491810127736754,0.0029483559257736216,0.0006796524602344602,0.0018600573075914456,0.002656984409350315,0.00011727464152440944,3,3,3
Grocery,42,12345,10804,10802,88674,13,13,44,38,0.024455800652503967,3,True,0.9996069073677063,0.9810987710952759,0.8970103859901428,0.00047362555051222444,0.00047672350774519145,0.00039081089198589325,0.00039319414645433426,-3.097957232967019e-06,8.281465852633119e-05,8.043140405789018e-05,7.147027645260096e-07,0.004296275787055492,-2.9802803058887994e-06,9.112831398346752e-05,8.814803367757868e-05,-3.2712019991720547e-06,8.208177065206225e-05,7.985102195935556e-05,1.040453306465366e-06,2,2,2
Grocery,42,12345,10736,9750,76090,12,12,9,31,0.05986843630671501,2,True,0.991313636302948,0.9484472274780273,0.9312217831611633,0.01033089216798544,0.00922075379639864,0.009822252206504345,0.008724311366677284,0.0011101383715867996,0.0005086399614810944,0.001606580801308155,-1.2197531759738922e-05,-0.0037817475385963917,0.0011849310303862167,0.0006012147305468128,0.0017861457609330297,0.0011066667140398536,0.0004996681435067514,0.0015900732092384534,-1.6261648308151574e-05,3,3,3
Grocery,42,12345,8491,539,2364,12,1,9,4,0.1666666716337204,2,True,0.8924614191055298,0.6341301798820496,0.42907750606536865,0.1435232013463974,0.1285751760005951,0.12785214185714722,0.11377200484275818,0.014948025345802307,0.015671059489250183,0.02975119650363922,-0.000867888331413269,-0.014376083388924599,0.017311502949118728,0.02021639433627436,0.03752789728539309,0.014857522178028234,0.015682499919656766,0.02948845532752938,-0.0010515667701556219,3,3,3
Grocery,42,12345,12871,4854,30670,14,8,7,80,0.04225771129131317,2,True,0.9391584396362305,0.7833698987960815,0.4164958894252777,0.05542222782969475,0.05749988183379173,0.06048380583524704,0.06277111172676086,-0.002077654004096985,-0.005061578005552292,-0.007348883897066116,-0.0002096518874168396,-0.0144706005230546,-0.002028451295012559,-0.004699297854354971,-0.00672774914936753,-0.0020770383253510606,-0.005045060071508026,-0.007314277837633998,-0.00019217944077491202,0,0,0
Grocery,42,12345,799,567,2472,1,1,8,9,0.1178511381149292,2,True,0.9997648596763611,0.9501128196716309,0.9111757278442383,0.0004772001120727509,0.00048565989709459245,0.00024875884992070496,0.0002351722796447575,-8.459785021841526e-06,0.00022844126215204597,0.00024202783242799342,2.2046355297788978e-05,0.04603166505694389,4.913363328134177e-06,0.0003338897033740609,0.0003388030667021951,-9.673434346808719e-06,0.00019585345056836084,0.00021710345735324822,3.092344113169609e-05,3,3,3
Grocery,42,12345,12479,12394,105151,14,14,1,74,0.11624763906002045,0,True,0.7393865585327148,0.8511738777160645,0.8563581705093384,0.47948819398880005,0.4529373049736023,0.32264378666877747,0.3019344210624695,0.026550889015197754,0.15684440732002258,0.17755377292633057,-0.0058415234088897705,-0.01618378795683384,0.028556797452598776,0.18865093852049802,0.2172077359730969,0.026487760266094746,0.15396015224481732,0.1739065010556925,-0.006541411455219581,3,3,3
Grocery,42,12345,4483,12131,102428,8,13,4,14,0.13363061845302582,1,False,0.9254447817802429,0.9698466062545776,0.7191455364227295,4.717286109924316,5.216042518615723,5.987338066101074,6.483259677886963,-0.49875640869140625,-1.2700519561767578,-1.7659735679626465,0.002834796905517578,0.0008019722299650311,-0.49455008246460747,-1.1862189149978877,-1.680768997462495,-0.49898049890886986,-1.3033292150780205,-1.7976146829848305,0.004695031002059924,0,0,0
Grocery,42,12345,1142,5568,36831,0,8,4,22,0.10660035908222198,1,False,0.9136679172515869,0.9894102811813354,0.840189516544342,2.074087619781494,1.9129126071929932,2.814164400100708,2.6387529373168945,0.16117501258850098,-0.7400767803192139,-0.5646653175354004,0.0142364501953125,0.009711633436381817,0.1633479634923615,-0.7052890174928435,-0.5419410540004821,0.16126796166036206,-0.7478307216915865,-0.5687921670206322,0.01777059301059225,1,1,1
Grocery,42,12345,3916,4449,25802,7,7,4,124,0.044901326298713684,1,True,0.971143901348114,0.926583468914032,0.8569169044494629,0.041725289076566696,0.04068438708782196,0.030038852244615555,0.02928061969578266,0.0010409019887447357,0.011686436831951141,0.012444669380784035,-0.00028266943991184235,-0.01122951041907072,0.0010616338951657967,0.0137872729407168,0.014848906835882594,0.0010408303190198528,0.011441756368581557,0.012144871411739495,-0.0003377152758619155,3,3,3
Grocery,42,12345,11331,15514,133505,13,17,6,32,0.07216878235340118,2,True,0.9324039220809937,0.9520928263664246,0.7253334522247314,0.06974279880523682,0.06741924583911896,0.07238967716693878,0.06998913735151291,0.002323552966117859,-0.0026468783617019653,-0.00024633854627609253,7.698684930801392e-05,0.014757542870938778,0.002448589745903778,-0.002247461722486695,0.00020112802341708258,0.002316260722675787,-0.002614757432961258,-0.00022537341563197508,7.312329465349607e-05,1,1,1
Grocery,42,12345,7557,3821,18850,9,5,1,5,0.4472135901451111,0,False,0.59454745054245,0.977183997631073,0.6300317049026489,3.6622772216796875,4.404660701751709,3.481663227081299,4.285224914550781,-0.7423834800720215,0.18061399459838867,-0.6229476928710938,-0.06117820739746094,-0.03957333415746689,-0.6496106619317048,0.5253405347758493,-0.12427012715585528,-0.7444296711037295,0.2317279240431246,-0.6526730732396346,-0.13997132617902974,2,2,2
Grocery,42,12345,9322,9405,72193,12,12,20,3,0.12909944355487823,3,True,0.9794584512710571,0.8419747352600098,0.8827664852142334,0.03322577103972435,0.02984795905649662,0.023178940638899803,0.020755477249622345,0.00337781198322773,0.010046830400824547,0.012470293790102005,-0.0009543485939502716,-0.03685462847352028,0.003632744099024342,0.011962096104470757,0.015594840203495096,0.0033560946591316837,0.009815946413090365,0.011980940786703326,-0.001191100285518722,3,3,3
Grocery,42,12345,557,1691,7106,1,1,8,3,0.20412413775920868,2,True,0.9966477751731873,0.9137200117111206,0.9824859499931335,0.007285455707460642,0.00736285001039505,0.0037726436275988817,0.003357846289873123,-7.739430293440819e-05,0.00351281207986176,0.003927609417587519,0.0004921916406601667,0.06546995043754578,0.00045488475800022456,0.005222383090175925,0.005677267848176151,-0.00010968498214855257,0.0029218062396239542,0.0034316789545021822,0.0006195576970267807,3,3,3
